"Table 6.33: Forest reserves and their protection status in MWS-028","","",""
"Family","Species","Endemicity","Status"
"Araceae","Rhaphidophora decursiva","N","CR"
"Cyatheaceae","Sphaeropteris crinita","N","EN"
"Lauraceae","Actinodaphne speciosa","E","VU"
"Berberidaceae","Berberis ceylanica","E","VU"
"Oxalidaceae","Biophytum proliferum","N","LC"
"Lauraceae","Cinnamomum ovalifolium","N","VU"
"Poaceae","Davidsea attenuata","EG","VU"
"Orchidaceae","Dendrobium heterocarpum","N","EN"
"Loranthaceae","Dendrophthoe suborbicularis","E","EN"
"Gentianaceae","Exacum macranthum","E","EN"
"Balsaminaceae","Impatiens henslowiana","N","VU"
"Fabaceae","Dialium ovoideum","E","VU"
"Anacardiaceae","Mangifera zeylanica","E","LC"
"Capparaceae","Capparis moonii","N","EN"
"Achariaceae","Chlorocarpa pentaschista","EG","VU"
"Lauraceae","Cinnamomum citriodorum","E","EN"
"Phyllanthaceae","Phyllanthus emblica","N","VU"
"Santalceae","Santalum album","N","NE"
"Meliaceae","Munronia pinnata","N","EN"
"Myrtaceae","Syzygium zeylanicum","N","LC"
"Pteridaceae","Actiniopteris radiata","N","VU"
