"Table 6.4: Salient features of minor tanks in MWS-028","","","","","",""
"Tank Name","Madiththa Golla tank","Kithulgolla tank","Maha Wewa","Rukahthtana Madiththa","Pambe Ulpotha tnak","Bootewa tank"
"GN","Liyanwela Pahala","Liyanwela Pahala","Madakandura","Madumana","Madumana","Madumana"
"MWS","MWS-028","MWS-028","MWS-028","MWS-028","MWS-028","MWS-028"
"DS","Walapane","Walapane","Walapane","Walapane","Walapane","Walapane"
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya"
"Custodianship","Tea Estate","Tea Estate","DAD","DAD","DAD","DAD"
"Year of Construction",,,,,,
"Location (Lat)","7.116675 N","7.111909 N","7.095540 N","7.113408 N","7.117521 N","7.108899 N"
"Location (Lon)","80.822365 E","80.823540 E","80.826980 E","80.833578 E","80.832279 E","80.832931 E"
"Hydrological zone",,,,,,
"Water Surface Area (approx.) (ha)","0.025","0.012",,"0.065","0.075","0.077"
"Catchment Area (gross) (km2)",,,,,,
"Catchment Area (net) (km2)",,,,,,
"Total command area (ha)",,,,,,
"Farmer Organization",,,,,,
"F.O. registration number",,,,,,
"Reservations are available or not","Yes","Yes",,,"Yes","Yes"
"Reservations are marked or not","No","No",,,"No","Yes"
"Bund","No bund","No bund","Earthen","Breached bund","Earthen","Concrete"
"Bund Length (m)","15",,"26",,"40","16.5"
"Top width (m)",,,,,"2","0.45"
"Visible bund height (m)",,,,,"3","2"
"US & DS slopes (h/b)",,,,,"1 on 1.5",
"Availability of rip rap",,,,,"No",
"Spillway",,,,,,
"Station (km+m)","No spill",,"No spill",,"0+32","0+10"
"Type",,,,,"CO","CO"
"Length (m)",,,,,"1.5","1.5"
"Observed Afflux (m)",,,,,"0.3","0.3"
"Duration of spilling (days)",,,,,,
"Sluice",,,,,,
"No of Sluices (nos)","No sluice",,"No sluice",,"No sluice","No sluice"
"Station/s (km+m)",,,,,,
"Type/s",,,,,,
"Barrel size/s (mm)",,,,,,
"command area of the sluice (ha)",,,,,,
"Rectification Details","Construct a 15m long tank bund, Desilt, Construct a sluice and CO spill","Construct 15.0 m long tank bund, new sluice and a CO spill, Desilting","No need to develop the tank. It is located in a land slide area.","Breached and abandoned tank","Eroded tank bund and silted bed.","Desilt, Construct a new sluice"
