"Table 6.41: Estimated cost to be incurred for planting one hectare of tea lands","","","","",""
"Activity","Location","Number and Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programs","Liyanwala,
Mailgasthenna,
Alma, Ilkpelessa","8","20,000","160,000","2024 and 2027"
"Establish forest protection action groups (With fire protection items)","Liyanwala,
Mailgasthenna,
Alma","3","25,000","75,000","2025"
"Maintain forest boundaries","Malapattawa forest,","60 Boundary posts/
(4 km)","310","37,200","2025 and 2028"
,"Dulgolla
(Galabada Alma)","850 Boundary posts/ 30 Km","310","527,000","2025 and 2028"
"Erect display boards","Liyanwala,
Mailgasthenna,
Alma,
Ilukpelessa","4 Boards","20,000","80,000","2025"
"Distribute energy-efficient stows","Alma,
Liyanwala","80 units","40,000","75,000","2025"
"Establish green belts and hedges","Malapattawa","1.5 km","125,000","187,000","2025"
"Maintenance of green belts and hedges","Malapattawa forest,","1.5 km","90,000
(5 times)","675,000","2026 - 2030"
"Conversion of exotic plantations into native species","High forest beat","20 ha","250,000","5,000,000","2026"
"Maintenance of converted plantations into broad-leaved species","High forest beat","20 ha","200,000","4,000,000","2027-2030"
,"Total","10,816,200",,,
