"Table 6.50: Contents of the agriculture productivity improvement training","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from  GoSL","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Ilukpelessa - 200 Andawela 300 Medakandura 300 Liyanwela Ihalagama- 250 Madumana- 250, Liyanwela Pahalagama 300 Naranthalawa 200","1,800","80.00","144,000.00","0.50","72,000.00"
,"Electric fence","Ilukpelessa - 4 Andawela 3 Medakandura 5 Liyanwela Ihalagama- 5 Madumana- 4, Liyanwela Pahalagama 5 Naranthalawa 5","31","36,000.00","1,116,000.00","0.50","558,000.00"
"Vegetable","Capsicum","Ilukpelessa - 5 Andawela 4 Medakandura 5 Liyanwela Ihalagama- 5 Madumana- 7, Liyanwela Pahalagama 6 Naranthalawa 6","38","40/perches unit - 20g. 3,000.00","114,000.00","1.00","114,000.00"
,"Cabbage","Ilukpelessa - 5 Andawela 5 Medakandura 5 Liyanwela Ihalagama- 5 Madumana- 4, Liyanwela Pahalagama 5 Naranthalawa 5","34","40/perches unit - 20g. 6,000.00","204,000.00","1.00","204,000.00"
,"Green chili","Ilukpelessa - 6 Andawela 3 Medakandura 5 Liyanwela Ihalagama- 4 Madumana- 4, Liyanwela Pahalagama 5 Naranthalawa 2","29","40/perches unit - 50g. 1,500.00","43,500.00","1.00","43,500.00"
,"Beans","lukpelessa - 4 Andawela 3 Medakandura 3 Liyanwela Ihalagama- 5 Madumana- 4, Liyanwela Pahalagama 5 Naranthalawa 7","31","40/perches unit - 1500g. 4,500.00","139,500.00","1.00","139,500.00"
,"Tomato","Ilukpelessa - 4 Andawela 3 Medakandura 5 Liyanwela Ihalagama- 5 Madumana- 4, Liyanwela Pahalagama 5 Naranthalawa 5","31","40/perches unit - 10g. 6,000.00","186,000.00","1.00","186,000.00"
"Fruits","Banana","Ilukpelessa - 70 Andawela 60 Medakandura 50 Liyanwela Ihalagama- 50 Madumana- 40, Liyanwela Pahalagama 50 Naranthalawa 60","380","120.00","45,600.00","1.00","45,600.00"
,"Avocado","Ilukpelessa - 30 Andawela 40 Medakandura 50 Liyanwela Ihalagama 40 Madumana- 30, Liyanwela Pahalagama 35 Naranthalawa 45","270","200.00","54,000.00","1.00","54,000.00"
,"Mango","Ilukpelessa - 40 Andawela 30 Medakandura 25 Liyanwela Ihalagama- 25 Madumana- 40, Liyanwela Pahalagama 30 Naranthalawa 25","215","300.00","64,500.00","1.00","64,500.00"
"Export Crops","Coffee","Ilukpelessa - 400 Andawela 300 Medakandura 350 Liyanwela Ihalagama- 350 Madumana- 300, Liyanwela Pahalagama 450 Naranthalawa 400","2,550","30.00","76,500.00","1.00","76,500.00"
,"Pepper","Ilukpelessa - 300 Andawela 300 Medakandura 400 Liyanwela Ihalagama- 350 Madumana- 300, Liyanwela Pahalagama 450 Naranthalawa 500","2,600","40.00","104,000.00","1.00","104,000.00"
,"Areca nut","Ilukpelessa - 250 Andawela 300 Medakandura 250 Liyanwela Ihalagama- 350 Madumana- 200, Liyanwela Pahalagama 300 Naranthalawa 250","1,900","40.00","76,000.00","1.00","76,000.00"
"Livestock","No of cow","Liyanwela Ihalagama- 4, Liyanwela Pahalagama 5 Madumana- 4, Ilukpelessa- 4 Andawela 2","19","250,000.00","4,750,000.00","0.50","2,375,000.00"
,"No of  goat","Liyanwela Ihalagama-4 Liyanwela Pahalagama 3","7","40,000.00","280,000.00","0.50","140,000.00"
,"No of chicks","Liyanwela Ihalagama- 60, Liyanwela Pahalagama 50 Madumana- 70, Ilukpelessa- 60 Andawela 40","280","1,500.00","420,000.00","0.50","210,000.00"
,"No of sheds -cow","Liyanwela Ihalagama- 3, Madumana- 1, Ilukpelessa- 4","8","300,000.00","2,400,000.00","0.50","1,200,000.00"
,"Bee keeping (Box 4000/=  bees)","Ilukpelessa - 10 Andawela 10 Medakandura 15 Liyanwela Ihalagama- 10 Madumana- 15, Liyanwela Pahalagama 10 Naranthalawa 10","80","8,000.00","640,000.00","0.50","320,000.00"
"Value added products","Black Pepper making machines (Balancing kit)","Madumana- 10, Ilukpelessa- 10","20","8,000.00","160,000.00","0.75","120,000.00"
"Total Cost",,,,,"11,017,600.00",,"6,102,600.00"
