"Table 6.6: Tentative estimate for Kithulgolla Wewa in Liyanwela Pahala GND","","",""
"Item","Description","Location","Amount  Rs"
"1","Desilting tank bed","Tank bed",
"1.1","Desilting of tank beds including removing water weeds and appropriate disposal of material 0.5km DS from the tank (D4 + Loader + Dumper truck) -0.30m thickness over 100% of the water spread area",,"21,456.00"
"2","Construction of new tank bund","Tank bund",
"2.1","Stripping top soil to depth up to 150mm",,"13,110.00"
"2.2","Cutting trench/ canal by Excavator (120) and disposing earth beside",,"30,624.00"
"2.3","Earth excavation from borrow area by Excavator and forming tank bund including transporting, placing (150-225) mm layers, watering, compacting and trimming  as per instructions (haulage up to 01 km) -CH filling in Core",,"247,086.00"
"2.4","Earth excavation from borrow area by Excavator and forming tank bund including transporting, placing (150-225)mm  layers, watering, compacting and trimming  as per instructions (haulage up to 01 km) -SC filling in bund",,"1,076,875.20"
"2.5","Turfing to new earth including cutting, laying, pegging and watering",,"34,815.00"
"3","Gravelling the bund road",,
"3.1","Cutting and loading Earth/Gravel by machinery. (Excavator 120)",,"3,132.00"
"3.2","Earth transport up to 1km.",,"882.00"
"3.3","Compaction by Roller (8-10) ton up to 2000m3 using vibrator machine.",,"310.50"
"4","Construction of new HW type Sluice","Tank","750,000.00"
"5","Construction of new CO type Spill","Tank","250,000.00"
"6","Soil Conservation","Reservation",
"6.1","Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",,"267,000.00"
"7","Miscellaneous",,"4,709.30"
,"Total",,"2,700,000.00"
