"Table 6.7: Tentative estimate for Rukaththana Madiththa in Madumana GND","","",""
"Item","Description","Location","Amount  Rs"
"1","Construction of new tank bund","Tank bund",
"1.1","Stripping top soil to depth up to 150mm",,"21,850.00"
"1.2","Cutting trench/ canal by Excavator (120) and disposing earth beside",,"51,040.00"
"1.3","Earth excavation from borrow area by Excavator and forming tank bund including transporting, placing  (150-225)mm  layers, watering, compacting and trimming  as per instructions (haulage up to 01 km) -CH filling in Core",,"411,810.00"
"1.4","Earth excavation from borrow area by excavator and forming tank bund including transporting, placing  (150-225)mm  layers, watering, compacting and trimming  as per instructions (haulage up to 01 km) -SC filling in bund",,"1,794,792.00"
"1.5","Turfing to new earth including cutting, laying, pegging and watering",,"58,025.00"
"2","Gravelling the bund road",,
"2.1","Cutting and loading Earth/Gravel by  machinery. (Excavator 120)",,"5,220.00"
"2.2","Earth transport up to 1km.",,"1,470.00"
"2.3","Compaction by Roller (8-10)ton up to 2000m3 using vibrator machine.",,"517.50"
"3","Construction of new HW type Sluice","Tank bund","750,000.00"
"4","Construction of new CO type Spill","Tank bund","250,000.00"
"5","Soil Conservation","Reservation",
"5.1","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",,"267,000.00"
"6","Miscellaneous",,"8,275.50"
,,,
,"Total",,"3,620,000.00"
