"Table 6.8: Tentative estimate for Pambe Ulpatha Wewa in Madumana GND","","",""
"Item","Description","Location","Amount  Rs"
"1","Desilting tank bed","Tank bed",
"1.1","Desilting of tank beds including removing of water weeds and appropriate disposal of material 0.5km DS from the tank (D4 + Loader + Dumper truck) -0.30m thickness over 100% of the water spread area",,"134,100.00"
"2","Rehabilitating the bund","Tank bund",
"2.1","Earth excavation from borrow area by excavator and forming tank bund including transporting, placing  (150-225)mm  layers, watering, compacting and trimming  as per instructions (haulage up to 01 km) -Filling potholes, depressions & eroded sections",,"185,712.00"
"2.2","Turfing to new earth including cutting, laying, pegging and watering",,"45,576.00"
"3","Gravelling the bund road",,
"3.1","Cutting and loading Earth/Gravel by  machinery. (Excavator 120)",,"5,568.00"
"3.2","Earth transport up to 1km.",,"1,568.00"
"3.3","Compaction by Roller (8-10)ton up to 2000m3 using vibrator machine.",,"552.00"
"4","Construction of new HW type Sluice",,"750,000.00"
"5","Soil Conservation","Reservation",
"5.1","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",,"267,000.00"
"6","Miscellaneous",,"9,924.00"
,"Total",,"1,400,000.00"
