"Table 6.17: Estimate of water source protection-related activities","","","","",""
"Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"Siyambalakumbura Well","7.143574","80.852483","There is no constructed well, only one family uses. 10 families are expected to get drinking water after developing this well","1:2:4 (3/4\") Cement concrete, machine mixing and placingVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","90,107.20"
"Serupitiya Public Well","7.148334","80.842412","The constructed well is in good condition, To protect the well, a side wall should be built and a cover net should be fixed.","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.5m, top width 0.15m, 0.50m high steps x 03, each of 0.15m step width & bottom width 0.60m)Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceProvide protective net over covering net","92,500.00"
"Othalawa Public Well","7.159046","80.842556","The constructed well is in good condition, To protect  a cover net should be fixed. About 20 families get water for drinking, bathing and cultivation.","Provide protective net over covering net","15,000.00"
"Belihul Oya","7.166151","80.843012","Natural forest","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","147,400.00"
"Wewakele Water Spring. (Above the lake)","7.125525","80.849696","Located on forest reserve above the wawakele lake. There is a significant amount of water. There is a water gutter (soput) for the villagers to bathe.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Provide protective net over covering net Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","588,500.00"
"Wewakele Water Spring. (In the Wawakele kandura)","7.124167","80.845831","Located on 'wewakele ihala' forest reserve. There is a significant amount of water. There is a water gutter (soput) for the villagers to bathe.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","76,900.00"
"Wawakele lake. Wawakele Springs.","7.124272","80.845994","There is lack of large trees in the reserve. Therefore, the soil of the land washed away.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","76,900.00"
"Wawakele lake. Wawakele Springs.","7.125670","80.848100","The forest reserve has not been severely damaged so far. Roads have been constructed for the villagers to pass trough the reserve.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceConstruction of 6\"-9\" dia x 5.0m long culvert / drainage under crossing with 1.2m high head walls on both ends","204,400.00"
"From Wewakele to Kovillanda","7.134543","80.84954","24 families use it for bathing and drinking water needs. The water project is in good working condition.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","76,900.00"
"Gorokgaha kandura","7.134942","80.849611","About 120 families get water for bathing, drinking and cultivation, Tank has been constructed and places have been prepared to take water for drinking and bathing. The bathing place should be repaired.","1:2:4 (3/4\") Cement concrete,hand mixing and placing  - Cover Slab1/2\" thk rough plastering in 1: 3 cement mortarVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","47,307.24"
