"Table 6.21: Details related to water pollution in MWS-029","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","513","Pannala","No special issues reported",,,,,,,,,,,
"2","513 A","Serupitiya","Potential to adding human waste - Serupitita",,,"40",,,,,,,,
,,,"Improper disposal of domestic waste - Serupitiya",,,,,,,"Preparing a separate place in home gardens  for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"3","513C","Wewakele","No special issues reported",,,,,,,,,,,
"4","513D","Ihala Pannala","Potential to adding human waste - Serupitita",,,"10",,,,,,,,
"5","514E","Deliwala North","Potential to adding human waste - Around the Main Stream",,,"30",,,,,,,,
,,,"Improper disposal of domestic waste - Serupitiya",,,,,,,"Preparing a separate place in home gardens  for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"6","514","Kumbalgamuwa","Potential to adding human waste - Maha Wewa",,,"10",,,,,,,,
,,,"Potential to adding human waste - Werella Ketiya",,,"7",,,,,,,,
,,,"Potential to adding human waste - Kanda Kolaniya",,,"8",,,,,,,,
,,,"Potential to adding human waste - Ritiella/Bokotuwa",,,"6",,,,,,,,
"7","513 E","Mailagasthanna","Potential to adding human waste - Mailagasthenna",,,"50",,,,,,,,
"Grand Total","100,000.00",,,,,,,,,,,,,
