"Table 6.23: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND No","Location","N","E","Observation","Description","Amount  Rs"
"513","Lihiniyagala","7.16243","80.849626","From a spring on top of a hill in a reserve belonging to Serasunthenna Division to water collected in the water storage tank using 1\" Ø of 1300m pipe length. Drinking water is distributed to 44 families through the 5000 litter water storage tank .There is not enough water for 44 families.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, etc.. to convey water from tank","565,000.00"
"513 A","Indigollagama","7.138241","80.849771","Currently, only one family is using this spring, A project that can distribute water to about 45 families by constructing storage tanks and laying distribution pipelines","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, etc.. to convey water from tank","1,115,000.00"
"513 A","SALT Gammanaya","7.138241","80.849771","Both names refer to the same project, Currently, only one family is using this spring, A project that can distribute water to about 45 families by constructing storage tanks and laying distribution pipelines","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Supplying & laying 25mm Dia PVC pipes including sockets, solvent cement etc..Supplying & laying 12.5mm Dia PVC pipes including sockets, solvent cement etc..Excavation in trenches, burying pipe lines & backfillingMiscellaneous","1,560,000.00"
"513 A","Indigolla","7.138241","80.849771","Both names refer to the same project, Currently, only one family is using this spring, A project that can distribute water to about 45 families by constructing storage tanks and laying distribution pipelines","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Supplying & laying 25mm Dia PVC pipes including sockets, solvent cement etc..Supplying & laying 12.5mm Dia PVC pipes including sockets, solvent cement etc..Excavation in trenches, burying pipe lines & backfillingMiscellaneous","1,560,000.00"
"513 A","Othalawagama",,,"Rainwater tanks have been proposed to store water for cultivation during dry seasons","Construction of ferro cement storage tank of 35 cum - size internal 3m dia x4m high","325,000.00"
"513 A","Serupitiya Tube Well","7.150155","80.844254","The tube well is broken","Repairing existing tube well","50,000.00"
"513C","Wewakele","7.1245525","80.849696","Located on forest reserve above the wawakele lake. There is a significant amount of water. There is a water gutter (spout) for the villagers to bathe.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Fixing of covering netMiscellaneous","575,000.00"
"513D","Ihala Pannala","7.134543","80.84954","24 families use it for bathing and drinking water needs. The water project is in good working condition.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","76,900.00"
"513 E","Walapane Watta","7.134247","80.842263","A project built by NWSDB with World Bank Fund to provide drinking water to 93 families, The water source located in the Naranthalawa Division.","1/2\" thk rough plastering in 1: 3 cement mortar","8517.64"
"513 E","Mailagasthenna",,,"Rainwater tanks have been proposed to store water for cultivation during dry seasons","Construction of ferro cement storage tank of 35 cum - size internal 3m dia x4m high","325000.00"
"514","Kumbalgamuwa","7.12","80.85501","A water supply project implemented by the NWSDB is being implemented throughout the area","Supplying & laying 25mm Dia PVC pipes including sockets, solvent cement etc..Excavation in trenches, burying pipe lines & backfillingMiscellaneous","330000.00"
"514E","Water Project Near the Post Office","7.12","80.85501","A water supply project implemented by the NWSDB is being implemented throughout the area","Supplying & laying 25mm Dia PVC pipes including sockets, solvent cement etc..Excavation in trenches, burying pipe lines & backfillingMiscellaneous","330000.00"
,,,,"Total",,"6,820,417.64"
