"Table 6.39: Key stakeholders of Tea lands","","","","",""
"Activity","Location","Number and Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programs","Kumbalgamuwa,
Wewakele, 
Gorokgahakandura","6","20,000","120,000","2024 and 2025"
"Establish forest protection action groups (With fire protection items)","Kumbalgamuwa,
Wewakele,","2","25,000","50,000","2025"
"Maintain forest boundaries","Wewekele forest,","Boundary posts/ (Km)",,,"2025 and 2028"
,"Kothalagalakanda forest,","Boundary posts/ (Km)",,,"2025 and 2028"
,"Deliwala forest","Boundary posts/ (Km)",,,"2025 and 2028"
"Erect display boards","Kumbalgamuwa,
Wewakele, 
Gorokgahakandura","6 Boards","20,000","60,000","2025"
"Distribute energy-efficient stows","Kumbalgamuwa,
Wewakele,","100 units","500","50,000","2025"
"Establish green belts and hedges (Hana)","Deliwala forest","4 km","125,000","500,000","2025"
"Maintenance of green belts and hedges (Hana)","Deliwala forest","4 km","90,000
(5 times)","1,800,000","2026 - 2030"
"Boundary Demarcation","Kudawewa forest area
(7.11255,80.8509)","110 boundary posts/
(2.5 Km)","7,000","770,000","2026 - 2030"
"Boundary Demarcation","Mahawewa forest area (Mulhalkele)
(7.10952,80.85166)","220 boundary posts/
(5.3 Km)","7,000","1,540,000","2026 - 2030"
"Forest restoration","Kudawewa forest area
(7.11255,80.8509)","2 ha 
(Entire degraded area considered as 2 ha)","200,000","400,000","2026-2030"
"Forest restoration","Mahawewa forest area (Mulhalkele)
(7.10952,80.85166)","5 ha","200,00,","1,000,000","2026 - 2030"
"Conversion of exotic plantations into native species","High forest beat","20 ha","250,000","5,000,000","2026"
"Maintenance of converted plantations into broad-leaved species","High forest beat","20 ha","200,000","4,000,000","2027-2030"
"Total",,,,"15,290,000",
