"Table 6.49: Timeframe for the implementation","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency  GoSL","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Deliwala North- 400,Serupitiya- 600 Pannala , Ihala 450 Pannala  400 Mailagasthenna 300 Kumbalgamuwa 300 Wewakele 400","2,850","80.00","228,000.00","0.50","114,000.00"
,"Electric fence","Deliwala North- 6, Serupitiya- 10 Pannala , Ihala 5 Pannala  4 Mailagasthenna 5 Kumbalgamuwa 6 Wewakele 5","36","36,000.00","1,296,000.00","0.50","648,000.00"
"Vegetable","Capsicum","Deliwala North- 5, Serupitiya- 6 Pannala , Ihala 7 Pannala  6 Mailagasthenna 5 Kumbalgamuwa 6 Wewakele 5","40","40/perches unit - 20g. 3,000.00","120,000.00","1.00","120,000.00"
,"Green chili","Deliwala North 6 ,Serupitiya- 10 Pannala , Ihala 8 Pannala  8 Mailagasthenna 10 Kumbalgamuwa 7 Wewakele 6","55","40/perches unit - 50g. 1,500.00","82,500.00","1.00","82,500.00"
,"Beans","Deliwala North 5 Serupitiya- 6 Pannala , Ihala 5 Pannala  6 Mailagasthenna 5 Kumbalgamuwa 3 Wewakele 4","34","40/perches unit - 1500g. 4,500.00","153,000.00","1.00","153,000.00"
,"Tomato","Deliwala North- 5, Serupitiya- 6 Pannala , Ihala 5 Pannala  4 Mailagasthenna 3 Kumbalgamuwa 3 Wewakele 4","30","40/perches unit - 10g. 6,000.00","180,000.00","1.00","180,000.00"
"Fruits","Banana","Deliwala North- 100,Serupitiya- 150 Pannala , Ihala 150 Pannala  100 Mailagasthenna 200 Kumbalgamuwa 100 Wewakele 100","900","120.00","108,000.00","1.00","108,000.00"
,"Avocado","Deliwala North- 100,  Serupitiya- 75","175","200.00","35,000.00","1.00","35,000.00"
,"Mango","Deliwala North- 100, Serupitiya 100 Pannala , Ihala 150 Pannala  100 Mailagasthenna 100 Kumbalgamuwa 100 Wewakele 100","750","300.00","225,000.00","1.00","225,000.00"
"Export Crops","Coffee","Deliwala North- 400,Serupitiya- 500 Pannala , Ihala 450 Pannala  400 Mailagasthenna 300 Kumbalgamuwa 300 Wewakele 400","2,750","30.00","82,500.00","1.00","82,500.00"
,"Pepper","Deliwala North- 500, Serupitiya- 600 Pannala , Ihala 400 Pannala  300 Mailagasthenna 300 Kumbalgamuwa 400 Wewakele 400","2,900","40.00","116,000.00","1.00","116,000.00"
,"Areca nut","Deliwala North- 300, Serupitiya- 200 Pannala , Ihala 350 Pannala  400 Mailagasthenna 300 Kumbalgamuwa 300 Wewakele 300","2,150","40.00","86,000.00","1.00","86,000.00"
,"Ginger","Deliwala North- 100,  Serupitiya- 75","175","18.00","3,150.00","1.00","3,150.00"
"Livestock","No of cow","Ihala pannala- 4,  Deliwala North- 4,  Serupitiya- 4","12","250,000.00","3,000,000.00","0.50","1,500,000.00"
,"No of  goat","Deliwala North- 10, Mailagasthenna- 5, Serupitiya-5","20","40,000.00","800,000.00","0.50","400,000.00"
,"No of chicks","Wewakale- 20, Ihala pannala- 100,  Deliwala North- 100, Mailagasthenna-40, Serupitiya-15","275","1,500.00","412,500.00","0.50","206,250.00"
,"No of sheds - cow","Ihala pannala- 2,  Deliwala North- 3, Mailagasthenna- 2, Serupitiya-2","9","300,000.00","2,700,000.00","0.50","1,350,000.00"
,"No of sheds - goat","Deliwala North- 5, Mailagasthenna-4, Serupitiya-5","14","150,000.00","2,100,000.00","0.50","1,050,000.00"
"Protected Agriculture","Polytunnel","Ihala pannala- 1, Deliwala North- 2, Serupitiya- 2","5","700,000.00","3,500,000.00","0.50","1,750,000.00"
"Value added products","Bee keeping (Box 4000/=  bees)","Deliwala North 4 Serupitiya- 6 Pannala , Ihala 5 Pannala  5 Mailagasthenna 5 Kumbalgamuwa 3 Wewakele 5","33","8,000.00","264,000.00","0.75","198,000.00"
,"Black Pepper making machines (Balancing kit)","Ihala pannala- 1, Deliwala North- 2, Serupitiya- 2","5","10,000.00","50,000.00","0.50","25,000.00"
"Total Cost",,,,,"13,482,150.00",,"8,432,400.00"
