"Table 6.5: Tentative estimate for Wewakele tank in Wewakele GND","","",""
"Item","Description","Location","Amount  Rs"
"1","Rehabilitating the bund","Tank bund",
"1.1","Earth excavation from borrow area by Excavator and forming tank bund including transporting, placing  (150-225)mm  layers, watering, compacting and trimming  as per instructions (haulage up to 01 km) -Filling potholes, depressions & eroded sections",,"641,088.00"
"1.2","Turfing to new earth including cutting, laying, pegging and watering","Tank bund","159,516.00"
"2","Gravelling the bund road",,
"2.1","Cutting and loading Earth/Gravel by machinery. (Excavator 120)",,"14,616.00"
"2.2","Earth transport up to 1km.",,"4,116.00"
"2.3","Compaction by Roller (8-10)ton up to 2000m3 using vibrator machine.",,"1,449.00"
"3","Soil Conservation","Reservation",
"3.1","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",,"267,000.00"
"4","Miscellaneous",,"2,215.00"
,"Total",,"1,090,000.00"
