"Table 6.6: Tentative estimate for Boraluwela wewa in Deliwala North GND","","",""
"Item","Description","Location","Amount  Rs"
"1","Desilting tank bed","Tank bed",
"1.1","Desilting of tank beds including removing water weeds and appropriate disposal of material 0.5km DS from the tank (D4 + Loader + Dumper truck) -0.30m thickness over 100% of the water spread area",,"178,800.00"
"2","Construction of new HW type Sluice","Tank bund","750,000.00"
"3","Construction of new CO type Spill","Tank bund","200,000.00"
"4","Repairs to the concrete wall","Tank bund",
"4.1","Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh",,"273,406.46"
"5","Soil Conservation","Reservation",
"5.1","Vegetative cover improving with Areca nut seedling 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",,"267,000.00"
"6","Miscellaneous",,"5,793.54"
,"Total",,"1,675,000.00"
