"Table 6.7: Tentative estimate for Maha Wewa in Kumbalgamuwa  GND","","",""
"Item","Description","Location","Amount  Rs"
"1","Desilting tank bed","Tank bund",
"1.1","Desilting of tank beds including removing water weeds and appropriate disposal of material 0.5km DS from the tank (D4 + Loader + Dumper truck) -0.30m thickness over 75% of the water spread area",,"1,005,750.00"
"2","Rehabilitating the bund",,
"2.1","Earth excavation from borrow area by Excavator and forming tank bund including transporting, placing (150-225)mm  layers, watering, compacting and trimming  as per instructions (haulage up to 01 km) -Filling potholes, depressions & eroded sections",,"543,843.60"
"2.2","Turfing to new earth including cutting, laying, pegging and watering",,"129,132.00"
"2.3","Gravelling the bund road",,
"2.4","Cutting and loading Earth/Gravel by machinery. (Excavator 120)",,"17,748.00"
"2.5","Earth transport up to 1km.",,"4,998.00"
"2.6","Compaction by Roller (8-10) ton up to 2000m3 using vibrator machine.",,"1,759.50"
"3","Construction of new HW type Sluice","Tank bund","400,000.00"
"4","Construction of new CO type Spill","Tank bund","500,000.00"
"5","Soil Conservation",,
"5.1","Vegetative cover improving with Areca nut seedling 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","Reservation","267,000.00"
"6","Miscellaneous",,"4,768.90"
,"Total",,"2,875,000.00"
