"Table 6.38: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Serasunthenna","300","80.00","24,000.00","0.50","12,000.00"
,"Electric fence","Serasunthenna","3","36,000.00","108,000.00","0.50","54,000.00"
"Vegetable","Capsicum","Serasunthenna","5","40/perches unit - 20g. 3,000.00","15,000.00","1.00","15,000.00"
,"Cabbage","Serasunthenna","4","40/perches unit - 20g. 6,000.00","24,000.00","1.00","24,000.00"
,"Beans","Serasunthenna","6","40/perches unit - 1500g. 4,500.00","27,000.00","1.00","27,000.00"
,"Tomato","Serasunthenna","5","40/perches unit - 10g. 6,000.00","30,000.00","1.00","30,000.00"
"Fruits","Banana","Serasunthenna","70","120.00","8,400.00","1.00","8,400.00"
,"Avocado","Serasunthenna","65","200.00","13,000.00","1.00","13,000.00"
,"Mango","Serasunthenna","30","300.00","9,000.00","1.00","9,000.00"
"Export Crops","Coffee","Serasunthenna","500","30.00","15,000.00","1.00","15,000.00"
,"Pepper","Serasunthenna","450","40.00","18,000.00","1.00","18,000.00"
,"Ginger","Serasunthenna","100","18.00","1,800.00","1.00","1,800.00"
"Livestock","No of cow","Serasunthenna","2","250,000.00","500,000.00","0.50","250,000.00"
,"No of  goat","Serasunthenna","3","40,000.00","120,000.00","0.50","60,000.00"
,"No of chicks","Serasunthenna","50","1,500.00","75,000.00","0.50","37,500.00"
,"No of sheds - cow","Serasunthenna","1","300,000.00","300,000.00","0.50","150,000.00"
,"No of sheds - goat","Serasunthenna","2","150,000.00","300,000.00","0.50","150,000.00"
"Value added products","Bee keeping (Box 4000/=  bees)","Serasunthenna","10","8,000.00","80,000.00","0.75","60,000.00"
,"Black Pepper making machines (Balancing kit)","Serasunthenna","2","10,000.00","20,000.00","0.50","10,000.00"
"Total Cost",,,,,"1,688,200.00",,"944,700.00"
