"Table 5.5: Estimate of water source protection-related activities","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
"533 D","2.Bombilikanda (Anick forest area)","6.9937","80.9081","Located Boundaries of Anic and Thalos estates. This area is covered with small trees. Water is collected from a collecting pit (1.4m x 1.1m x 0.75m) and taken to the stock tank and distributed.","Provide protective net over collecting pit Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fenceVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","91,420"
"533 D","3.St Marget","721","80.9044","Located Bounderies of St. marget and Thalos estates. This area covered with small trees. Water is collected from a collecting pit (3m x 1.8m x 2.4m) and distributed.","Provide protective net over collecting pit Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fenceVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","195,676"
"533 D","4.Roppanock Field 1","702","80.9174","Located below the Roppanock  estate. This area is coverd with small trees. 25 families use water from this water springs informally for daily use.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","74,800"
"533 D","5.Roppanock Field 4","762","80.9233","Located below the Roppanock estate. This area is covered with small trees. There is group of water springs. At present, the water of those springs is not used directly.  Not yet preserved. There is significant amount of water","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","101,200"
"533 D","6.Alakola mada pathana Spring 1","765","80.9056","Located on Privet land. Not yet preserved. The soft rock excavated and a pit is built. Water is pumped from it and taken to the houses.","Provide protective net over collecting pitVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","116,200"
"533 D","7.Alakola mada pathana Spring 2","762","80.9099","Located on reserve land near the St. Margaret estate. A common well used earlier. Water is collected in a small stock tank (1.2m x 1.2m x 1.2m) and distributed. Currently, only two families are getting water from this.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","74,800"
"533 D","8.St. Marget Public well","721","80.9044","Located Boundaries of St. Margaret and Thalos estates. This area covered with small trees. There is a public well (1.8m x 1.5m x 1.2m).  There is significant amount of water.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","74,800"
"533 D","1.Alakola mada pathana Spring 2","762","80.9099","Located on reserve land near the St. marget estate. A common well used earlier. Water is collected in a small stock tank (1.2m x 1.2m x 1.2m )and distributed. Currently, only two families are getting water from this.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","74,800"
"533E","Field No-08 Alnwick Estate","6.9861","80.8936","Located on the ainwick estate. A well is dug in the ground and the water is collected and used.","Construction of a 10 m long, 1 m high RR masonary retaining wallVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","351,300"
"533E","Field No-07,09,02,03","6.9800","80.8751","Located on the ammerst estate. Acollecting pit has been constructed(L=2.5m, W=2.5m, H=1.1m).","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","101,200"
"533E","Field No-01,02 Waldemar Estate","6.9815","80.8928","Located on the Weldemar estate. A well is dug in the ground and the water is collected and used.","Construction of a 10 m long, 1 m high RR masonary retaining wallVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","496,200"
