"Table 5.8: Details related to water pollution in MWS-031 belongs to the Nildandahinna DS Division","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  LKR","Total Cost  LKR","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N","E",,,"N","E",,,,,
"1","533L","Delmar","Potential to adding human waste - Grazeline Estate",,,"10",,,,,,,,
,,,"Potential to adding human waste - Delnar UD",,,"10",,,,,,,,
,,,"Potential to adding human waste - Delnar MD",,,"10",,,,,,,,
,,,"Potential to adding human waste - Goarden Estate",,,"10",,,,,,,,
,,,"Improper disposal of domestic waste in some places near houses",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,,,
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Facilitating garbage collection by the local governments, as needed",,,,
"2","533D","Udapussallawa North","Improper disposal of domestic waste in some places near houses","7.05167","80.79809",,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Introduce waste collecting methods and converting them into productive output with the mediation of Local Governments.",,,,
,,,,,,,,,,"Facilitating garbage collection by the local governments, as needed",,,,
"3","533E","Udapussellawa South","Potential to adding human waste - Woldmar Estate",,,"20",,,,,,,,
,,,"Potential to adding human waste - Amherst Estate",,,"20",,,,,,,,
,,,"Improper disposal of domestic waste in some places near houses",,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Introduce waste collecting methods and converting them into productive output with the mediation of Local Governments.",,,,
,,,,,,,,,,"Facilitating garbage collection by the local governments, as needed",,,,
"4","533F","Sooriyagahapathana Pahala","Potential to adding human waste - Rocklanwatta No. Two Line House",,,"10",,,,,,,,
"5","533K","St. Magret","Potential to adding human waste - Enwic lowerdivision",,,"15",,,,,,,,
"6","533G","Sooriyagahapathana Ihala","No special issues reported",,,,,,,,,,,
"7","533H","Galkadapathana","Improper disposal of domestic waste in some places near houses",,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Introduce waste collecting methods and converting them into productive output with the mediation of Local Governments.",,,,
,,,,,,,,,,"Facilitating garbage collection by the local governments, as needed",,,,
"Grand Total","200,000",,,,,,,,,,,,,
