"Table 2.2: Land use and land cover details of MWS-032","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","4.85","0.59%"
"2","Chena","10.75","1.30%"
"3","Forest lands","126.09","15.23%"
"4","Forest plantation","72.22","8.72%"
"5","Grass land","1.49","0.18%"
"6","Home garden","198.96","24.03%"
"7","Paddy","163.36","19.73%"
"8","Perennials","0.38","0.05%"
"9","Rocky area","9.59","1.16%"
"10","Scrub land","72.15","8.71%"
"11","Seasonal crops","152.44","18.41%"
"12","Tea","5.98","0.72%"
"13","Water bodies","9.86","1.19%"
,"Total","828.12","100.00%"
