"Table 2.7: Occupational details of the community of MWS-032 (GN-wise)","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7"
,,"Government","Forces","Private Sector","Self-Occupied","Agriculture","Foreign Services","Laborer","Estate worker","Unemployed"
"528F","Mathetilla","58","0","42","16","250","1","0","0","168"
"528B","Palugama","36","31","141","18","105","0","10","0","34"
"531","Ambaliyadda","32","19","52","9","98","1","1","2","131"
"531A","Embulampaha","41","29","24","20","82","1","0","0","123"
"528","Roopaha","16","20","33","4","83","0","0","0","74"
"528E","Roopaha East","4","6","11","11","100","1","5","0","0"
"528A","Pallewela","29","42","50","8","120","0","0","0","44"
,"Total","216","147","353","86","838","4","16","2","574"
