"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-032 belongs to Nildandahinna DS Division","","","","","","","","","","",""
"No","GND No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","528F","Mathatilla","No special issue is recorded",,,,,,,,
"2","528B","Palugama","No special issue is recorded",,,,,,,,
"3","531","Ambaliyadda","No special issue is recorded",,,,,,,,
"4","531A","Embulampaha","No special issue is recorded",,,,,,,,
"5","528","Roopaha","No special issue is recorded",,,,,,,,
"6","528 E","Roopaha East","1. Establishing a Retaining Wall - Demodara","5","7.03370","80.91510","Length - 13 m, Height - 3 m","Concrete Retaining Wall","1,518,000","By the project","0.25 Years"
,,,"2. Establishing a Retaining Wall - Kahagahayata Hena","1","7.03189","80.91472","Length - 20 m, Height - 3 m","Concrete Retaining Wall","2,332,000","By the project","0.25 Years"
,,,"3. Establishing a Retaining Wall - Akulan Ella","3","7.03758","80.91694","Length - 17 m, Height - 3 m","Concrete Retaining Wall","1,985,500","By the project","0.25 Years"
"Sub Total","5,835,500",,,,,,,,,,
"7","528A","Pallewela","1. Establishing a Retaining Wall - From Pihille Gedera to Udapitiya Road","1","7.035524","80.911414","Length - 12 m, Height - 2 m","Rubble Retaining Wall","528,000","By the project","0.25 Years"
,,,"2. Establishing a Retaining Wall -  Near the Buddha Statue at Pallewela","3","7.041189","80.908192","Length - 4 m, Height - 2 m","Rubble Retaining Wall","176,000","By the project","0.25 Years"
"Sub Total","704,000",,,,,,,,,,
,,,,,,,,"Grand Total","6,539,500",,
