"Table 5.44: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  LKR","Total Cost  LKR","Contribution  from GoSL","Final cost to LA  GoSL  LKR"
"Paddy","Tray","Mathetilla  -500 ,Palugama-300, Ambaliyadda 400, Roopaha - 100, Embulampaha 250, Roopaha East 200","1,750","80","140,000","50%","70,000"
,"Electric fence","Palugama-3, Ambaliyadda 4, Roopaha - 3, Embulampaha 4, Roopaha East 3","17","36,000","612,000","50%","306,000"
"Vegetable","Capsicum","Mathetilla 3, Palugama 4, Ambaliyadda 5, Embulampaha 4, Roopaha 4, Roopaha East 3, Pallewela 5","28","40/perches unit - 20g. 3,000","84,000","100%","84,000"
,"Cabbage","Mathetilla 3, Palugama 5, Ambaliyadda 5, Embulampaha 3, Roopaha 4, Roopaha East 5, Pallewela 4","29","40/perches unit - 20g. 6,000","174,000","100%","174,000"
,"Green chili","Mathetilla 5, Palugama 4, Ambaliyadda 5, Embulampaha 4, Roopaha 4, Roopaha East 3, Pallewela 3","28","40/perches unit - 50g. 1,500","42,000","100%","42,000"
,"Beans","Mathetilla 2, Palugama 4, Ambaliyadda 5, Embulampaha 4, Roopaha 2, Roopaha East 3, Pallewela 2","22","40/perches unit - 1500g. 4,500","99,000","100%","99,000"
,"Tomato","Mathetilla 4, Palugama 3, Ambaliyadda 4, Embulampaha 4, Roopaha 4, Roopaha East 3, Pallewela 4","26","40/perches unit - 10g. 6,000","156,000","100%","156,000"
"Fruits","Banana","Mathetilla- 60  ,Ambaliyadda- 40 , ,Roopaha -40,","140","120","16,800","100%","16,800"
,"Avocado","Mathetilla-50 , Ambaliyadda-100","150","200","30,000","100%","30,000"
,"Mango","Mathetilla-60  ,Ambaliyadda-100, Roopaha -50","210","300","63,000","100%","63,000"
,"Passion fruits","Ambaliyadda-50, Roopaha -50","100","100","10,000","100%","10,000"
,"Grapes","Mathetilla-20  ,Ambaliyadda-30,Roopaha -30","80","150","12,000","100%","12,000"
"Export Crops","Coffee","Mathetilla 300, Palugama 250, Ambaliyadda 150, Embulampaha 200, Roopaha 200, Roopaha East 150, Pallewela 200","1,450","30","43,500","100%","43,500"
,"Pepper","Mathetilla 250, Palugama 350, Ambaliyadda 350, Embulampaha 200, Roopaha 300, Roopaha East 150, Pallewela 250","1,850","40","74,000","100%","74,000"
,"Ginger","Mathetilla-100, Ambaliyadda-50, Roopaha -30","180","18","3,240","100%","3,240"
"Livestock","No of cow","Mathetilla -1, Palugama -3, ,Ambaliyadda -3, Roopaha -3","10","250,000","2,500,000","50%","1,250,000"
,"No ofgoat","Ambaliyadda -1","1","40,000","40,000","50%","20,000"
,"No of chicks","Palugama -50, Ambaliyadda -50, Roopaha -25","125","1,500","187,500","50%","93,750"
,"Incubator","Mathetilla -1, Palugama -1, Ambaliyadda -1","3","60,000","180,000","50%","90,000"
,"No of sheds - cow","Mathetilla -1, Ambaliyadda 2, Roopaha -2","5","300,000","1,500,000","50%","750,000"
,"No of sheds - goat","Ambaliyadda -1","1","150,000","150,000","50%","75,000"
"Protected Agriculture","Polytunnel","Ambaliyadda -2","2","700,000","1,400,000","50%","700,000"
"Value added products","Bee keeping box &ees","Mathetilla -15, Palugama -10 , Ambaliyadda -7,  Roopaha -10","42","8,000","336,000","75%","252,000"
,,"Roopaha - 26","26","10,000","260,000","50%","130,000"
,"Curry powder grinding","Roopaha -1","1","120,000","120,000","50%","60,000"
"Total Cost",,,,,"8,233,040",,"4,604,290"
