"Table 5.48: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  LKR","Con  From DSD LKR  Institution","Project Con   LKR","Proposed training Partner"
,,,,,,,,
"1","Project Awareness and Orientation Program for 11 MWMs. (MWS-031,032, 033, 034-1,035,036,037,038, 039,040 and 041)","Budget was allocated under MWS-031 (Nildandahinna)","PMU",,,,,
"2","Training of Trainers (for selected officers at DSD level)","Budget was allocated under MWS-031 (Nildandahinna)","DOA/TBD",,,,,
"3","Water Management Training for the Development officer of DAD in Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","DAD/ KITI",,,,,
"4","Agriculture productivity improvement training for ARPAs and EDOs","Budget was allocated under MWS-031 (Nildandahinna)","Natural Resources Management Center+ Export Agriculture Department",,,,,
"5","Good Practices in Agrochemicals and Fertilizer application for ARPAs and EDOs","Budget was allocated under MWS-031 (Nildandahinna)","DOA/ Natural Resources Management Center/University",,,,,
"6","Climate Change Adaptation Training for MWMC (including technical committee members)","1","1","24","66,660","2,500","64,160","DOA/University"
"7","Construction Supervisory – Basic Training for Economic Development Officers","Budget was allocated under MWS-031 (Nildandahinna)","District Engineer of District Secretariat",,,,,
"8","Water Quality Parameters and Testing Training for EDO","Budget was allocated under MWS-031 (Nildandahinna)","National water supply and drainage board/Natural Resources Management Center",,,,,
"9","Forest Fire Prevention and Control Training for officers of Forest Department","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"10","Use of RS and GIS in Watershed management for Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"11","Forest Restoration training for officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"12","Integrated Watershed Management training for Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"13","Domestication and use of wild species for watershed management for officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"14","Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers (Nildandhinna DSD)","Budget was allocated under MWS-021-1 (Walapane)","DOA/ Natural Resources Management Center/University",,,,,
"15","Training EDOs and SDO to conduct cascading training on Financial Literacy and Household Money Management (ToT)","Budget was allocated under MWS-031 (Nildandahinna)","CBSL Matale Regional office/CBSL HO",,,,,
"Training for Communities",,,,,,,,
"16","Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND","7","1","350","600,950","-","600,950","Agriculture Park DoA"
"17","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","7","1","350","470,400","-","470,400","Natural Resources Management Center/DOA"
"18","Good Practices in Agrochemicals and fertilizer application and Integrated Pest Management for GPC Community Members and Identified Farmers -One training/GND","7","1","350","463,050","-","463,050","DOA"
"19","Important of Home Garden Improvement for watershed Management (All 11 MWMs in Nildandahinna DSD)","Budget was allocated under MWS-031 (Nildandahinna)","Forest Department",,,,,
"20","Field Day for Soil and Water Conservation Practice and Method for GPC community leaders and Farmers","7","1","350","259,000","-","259,000","AI, AR&PA and EDO/NRMC"
"21","Field Day For Best Practices of Usage of Pesticide, Integrated Pest Control and Fertilizer Application for GPC community members and identified farmers. One training/GND","7","1","350","259,000","-","259,000","AI, AR&PA and EDO"
"22","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","7","1","350","463,400","-","463,400","DOA/NRMC"
"23","Green Skill and Green Technology Concept for Youth and GPC members","7","1","280","520,100","17,500","502,600","DOA"
"24","Climate Change Adaptation training for GPC and selected farmers","7","1","350","413,000","-","413,000","AI,EDO"
"25","Conduct Field Day on Climatic Training Adaptation","7","1","350","245,000","-","245,000","AI & EDO"
"26","Forest Fire Prevention and Control GPC and community members","7","1","350","568,400",,"568,400","Forest Department"
"27","Responsible use of water resources for GPC/GWMC and community members","7","1","350","568,400",,"568,400","Forest Department"
"28","Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Nildandahinna DSD)","Budget was allocated under MWS-021-1 (Walapane)","Trained Teachers",,,,,
"29","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs)","7","1","350","323,400",,"323,400","EDOs &SDO"
"30","Conduct Refresher Training on Household Money Management for GPC and Community Members","7","1","350","224,700",,"224,700","EDO and SDO"
"31","Career Guidance & Career Fair Event (Nildandhinna DSD)","Budget was allocated under MWS-031 (Nildandahinna)","Skills Development Officer & Human Resources Development Assistant of DSD",,,,,
"32","Gender and Social Inclusion Training","1","1","63","76,470","2,500","73,970","TBD"
"33","Community Training - livelihood and Marketing",,,,"765,000",,"765,000",
,"Total Estimated budget",,,,"6,286,930","22,500","6,264,430",
