"Table 5.6: Details Salient features of minor tanks in MWS-032","",""
"Tank Name","Pussalamada tank","Udahena tank"
"GN","Embulampaha","Pallewela"
"MWS","MWS-032","MWS-032"
"DS","Nildandahinna","Nildandahinna"
"District","Nuwara Eliya","Nuwara Eliya"
"Custodianship","DAD","DAD"
"Year of Construction",,
"Location (Lat)","7.027050","7.043705"
"Location (Lon)","80.90914","80.90803"
"Hydrological zone",,
"Water Surface Area (approx.) (ha)","0.334","0.08"
"Catchment Area (gross) (km2)",,
"Catchment Area (net) (km2)",,
"Total command area (ha)",,
"Farmer Organization",,
"F.O. registration number",,
"Reservations are available or not","Yes","Yes"
"Reservations are marked or not","No","No"
"Bund","Earthen","Earthen"
"Bund Length (m)","27","50"
"Top width (m)","2.9","2"
"Visible bund height (m)",,
"US & DS slopes (h/b)",,"1 on 2"
"Availability of rip rap","No",
"Spillway","No spill",
"Station (km+m)",,"0+48"
"Type",,"CO"
"Length (m)",,"2.6"
"Observed Afflux (m)",,"0.3"
"Duration of spilling (days)",,
"Sluices","No sluices","1"
"No of Sluices (nos)",,"1"
"Station/s (km+m)",,"0+15"
"Type/s",,"HW"
"Barrel size/s (mm)",,"225"
"command area of the sluice (ha)",,
"Rectification Details","Rehabilitation of the tank with new spill and sluice","New sluice door with all accessories, sluice H/wall should be raised and desilting required."
