"Table 5.15: Water source protection estimates","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
"527","1.Pussala Kandura","7.051829","80.91496","Water is taken for cultivation, drinking and bathing","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","61,600"
"527","2.Bandala Conduit (Peella)","7.058039","80.92125","Water is taken for cultivation, drinking and bathing","12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish (UR55) Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","52,158"
"527B","1.Uda Mukalana Common Well","7.0448","80.93256","Water is taken for drinking and bathing. The water tank is constructed (1.9m x 1.9m x 1.2m, L*W*H) and drinking water is distributed. But that tank is damage","12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish (UR55) Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","63,200"
"527B","2.Maduwelthetiya Common Well","7.05231","80.93007","Water is taken for drinking and bathing. The water tank is constructed (2.6m x 2.6m x 2m, L*W*H) and drinking water is distributed. But that tank is water leak","12.5mm thick, rough ct. Plaster in 1:3 cement sand mortar semi rough finish (UR55) Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","32,124"
"527B","3.Udakumbura Well","7.04665","80.93138","Water is taken for drinking and bathing","12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish (UR55) Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","39,756"
"527B","4.Morahela Juntion Common Well","7.04497","80.92865","Water is taken for drinking and bathing. The water tank is constructed (3.1m x 2.0m x 1.5m, L*W*H)","9\" thk flat Rubble paving in 1:6 Cement mortar Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","91,875"
"527B","5.Kapukotuwa well","7.04573","80.93231","Water is taken for drinking and bathing. The water tank is constructed (3.2m x 3.0m x 1.5m, L*W*H) and drinking water is distributed. But that tank is damage","12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish (UR55)Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","35,273"
"527B","1.Kotagan Arawa Spring","7.04262","80.93078",,"Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspecies","91,300"
"527B","2.Aliya watunu ella spring","7.04493","80.9382",,"Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspecies","121,000"
"527B","3.Meeyan Kapana Ella Spring","7.04597","80.93906",,"Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspecies","61,930"
