"Table 5.17: Minor irrigation related estimates","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  LKR"
"528D","Udakumbura canal","7.03639","80.92168","Part of the existing canal has been concreted and balance part earthen canal . 07Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,818,300"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"528D","Gorakagahamulla canal","7.03601","80.9208","Existing Earthen canal,3.5 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","975,700"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"528D","Kosgahamulla canal","7.03826","80.92249","Part of the existing canal has been concreted and balance part earthen canal . 05 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining For 125mm thick, 0.4m wide and 0.5m high canal -single banking","1,108,800"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"528D","Kandurugasmulla canal","7.03876","80.92207","Part of the existing canal has been concreted and balance part earthen canal . 08 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining For 125mm thick, 0.4m wide and 0.5m high canal -single banking","1,807,300"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"528D","Bogasthanna canal","7.03924","80.92196","Part of the existing canal has been concreted and balance part earthen canal . 12.5 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining For 125mm thick, 0.4m wide and 0.5m high canal -single banking","906,400"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"528D","Wamulla canal","7.0352","80.92166","Part of the existing canal has been concreted and balance part earthen canal . 15 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining For 125mm thick, 0.4m wide and 0.5m high canal -single banking","3,262,600"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"528D","Aladumagasthanna canal","7.03777","80.92306","Part of the existing canal has been concreted and balance part earthen canal . 2.5 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining For 125mm thick, 0.4m wide and 0.5m high canal -single banking","906,400"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"530B","Maussa Canal","7.01994","80.91528","Existing Earthen canal, some places Constructed of rectangular concrete lining,Anicurt constructed with concrete It is good condition","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","5,195,300"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"530B","Kuruvi Canal",,,"Existing Earthen canal, No cross wall for anicut, They have make cross rubble dam and get Water","Construction of Anicut","3,128,400"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for concrete canals at ground level -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Tidying up",
,,,,,"Improvements to canals",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.4m wide and 0.3m high canal -single banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"530A","Meda Canal","7.01158","80.91179","Part of the existing canal has been concreted and balance part earthen canal, 150m long section of existing Concrete canal has been damaged. Command area 35 acres","Canal reservation protection by concrete lining For 100mm thick, 0.4m wide and 0.3m high canal -single banking","1,606,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"527","1.Moragahaliyadda","7.05572","80.92546","Existing Earthen canal, No cross wall for anicut, They have make cross rubble dam and get Water","Construction of Anicut","2,139,500"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for concrete canals at ground level -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Tidying up",
,,,,,"Improvements to canals",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.4m wide and 0.3m high canal -single banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"527","2.Vigiyathenna canal","7.055095","80.92645","Existing Earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.4m wide and 0.3m high canal -single banking","1,606,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"527","3.Uda Galana canal","7.057032","80.92038","Existing Earthen canal,, Anicut included No 518 Demataarawa GND","Canal reservation protection by concrete lining For 100mm thick, 0.4m wide and 0.3m high canal -single banking","1,606,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"527","4 Bandara canal","7.057136","80.92043","Existing Earthen canal, some places Constructed of rectangular concrete lining, Anicut included No 518 Demataarawa GND","Canal reservation protection by concrete lining For 100mm thick, 0.4m wide and 0.3m high canal -single banking","2,544,850"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"528C","1.Diggala Mulla canal","7.025618","80.91576","Part of the existing canal has been concreted and balance part earthen canal . 20 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","841,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"528C","2.Uda Arawa canal","7.023695","80.918","Existing Earthen canal,22 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,050,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"528C","3.Meda canal","7.024412","80.91759","Existing Earthen canal,13 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","773,300"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"528C","4.Kottagahauhana Canal","7.026582","80.91638","Part of the existing canal has been concreted and balance part earthen canal . 16 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","773,300"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"530","1. Udawela canal-1","7.01805","80.91986","Part of the existing canal has been concreted and balance part earthen canal . 15 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,679,700"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
