"Table 5.49: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","GoSL Contribution","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Wathulanda East 200, Meepanawa 200, Wathulanda West150, Madulla South150, Morahela 150, Kurupanawela 200, Madulla North 200, Maliyadda150,","1400","80","112,000.00","50%","56,000.00"
,"Electric fence","Wathulanda East 3, Meepanawa 2, Wathulanda West 2, Madulla South3, Morahela 4 Kurupanawela 3 Madulla North 2, Maliyadda 4,","23","36,000.00","828,000.00","50%","414,000.00"
"Vegetable","Capsicum","Wathulanda East - 3, Meepanawa -3, Madulla South- 4, Kurupanawela - 2","12","40/perches unit - 20g. 3,000.00","36,000.00","100%","36,000.00"
,"Cabbage","Wathulanda East 3, Meepanawa 2, Wathulanda West 2, Madulla South 3, Morahela 3 Kurupanawela 3 Madulla North 2, Maliyadda 2,","20","40/perches unit - 20g. 6,000.00","120,000.00","100%","120,000.00"
,"Green chili","Wathulanda East - 4, Meepanawa -2, Madulla South- 4, Kurupanawela - 5","15","40/perches unit - 50g. 1,500.00","22,500.00","100%","22,500.00"
,"Beans","Wathulanda East 2, Meepanawa 2, Wathulanda West 2, Madulla South 3, Morahela 3 Kurupanawela 3 Madulla North 2, Maliyadda 3,","20","40/perches unit - 1500g. 4,500.00","90,000.00","100%","90,000.00"
,"Tomato","Wathulanda East 3, Meepanawa 3, Wathulanda West 2, Madulla South 3, Morahela 3 Kurupanawela 3 Madulla North 2, Maliyadda 4,","23","40/perches unit - 10g. 6,000.00","138,000.00","100%","138,000.00"
"Fruits","Banana","Wathulanda East - 100, Meepanawa -100, Madulla South- 100, Kurupanawela - 60, Wathulanda west - 30, Kandeyaya 50","440","120","52,800.00","100%","52,800.00"
,"Avocado","Wathulanda East - 100, Meepanawa -100, Madulla South- 100, Wathulanda west - 20, Kandeyaya 50","370","200","74,000.00","100%","74,000.00"
,"Mango","Wathulanda East - 60, Meepanawa -70, Madulla South- 90, Kurupanawela - 60, Wathulanda west - 20","300","300","90,000.00","100%","90,000.00"
"Export Crops","Coffee","Wathulanda East 300, Meepanawa 200, Wathulanda West 150, Madulla South 250, Morahela 150, Kurupanawela 200, Madulla North 200, Maliyadda 250, Kandeyaya 150","1850","30","55,500.00","100%","55,500.00"
,"Pepper","Wathulanda East 350, Meepanawa 300, Wathulanda West 350, Madulla South 250, Morahela 250, Kurupanawela 200, Madulla North 200, Maliyadda 350, Kandeyaya 150","2400","40","96,000.00","100%","96,000.00"
,"Ginger","Wathulanda East - 60, Meepanawa -70, Madulla South- 90, Kurupanawela - 60, Wathulanda west - 20, Kandeyaya 170","470","18","8,460.00","100%","8,460.00"
"Livestock","No of cow","Wathulanda East - 3, Meepanawa -2, Madulla South-4, Kurupanawela - 3, Wathulanda west - 2, Kandeyaya 2","16","250,000.00","4,000,000.00","50%","2,000,000.00"
,"No of chicks","Wathulanda East - 60, Meepanawa -70, Madulla South- 90, Kurupanawela - 60, Wathulanda west - 20, Kandeyaya 70","370","1,500.00","555,000.00","50%","277,500.00"
,"No of sheds - cow","Meepanawa -2, Madulla South- 1, Kurupanawela - 1, Wathulanda west - 2, Kandeyaya 1","7","300,000.00","2,100,000.00","50%","1,050,000.00"
"Value added products","Bee keeping Box & bees)","Wathulanda East 10, Meepanawa 10, Wathulanda Wes 10, Madulla South 5, Morahela 10, Kurupanawela 10, Madulla North 10, Maliyadda5,","70","8,000.00","560,000.00","75%","420,000.00"
,"Black Pepper making machines","Meepanawa 2, Madulla South- 2, Kurupanawela - 3, Wathulanda west - 1","8","10,000.00","80,000.00","50%","40,000.00"
"Total Cost",,,,,"9,018,260.00",,"5,040,760.00"
