"Table 5.50: Timeframe for the implementation","","","","","","","","","","","","","","",""
"X","Activities","X2026","X2027","X2028","Responsibility","Supervision","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"Yala","Maha","Yala","Maha","Yala","Maha",,,,,,,,
"1","Supporting Export agricultural crops",,,,,,,,,,,,,,
"1.1","Identification of farmers and conduct basic awareness on cultivation of export agriculture crops",,,,,,,"MDMWPC/ EO","AD (P)",,,,,,
"1.2","Make Initial arrangement with Dept. of Export Agriculture for supply of Plants.",,,,,,,"AD (P)","DS",,,,,,
"1.3","Supply and distribution of plants",,,,,,,"EO(DEA)","AD (P)",,,,,,
"1.4","Conducting awareness quality improvement and minimizing of post-harvest losses",,,,,,,"EO","ADO",,,,,,
"1.5","Monitoring and supervision",,,,,,,"MDMWPC","EO (DEA)",,,,,,
"2","Supporting paddy cultivation",,,,,,,,,,,,,,
"2.1","Identification and signing of MoU with selected farmers",,,,,,,,,,,,,"MDMWPC","ADO"
"2.2","Conducting basic awareness of “Parachute method”",,,,,,,,,,,,,"AI","ADO/AD (P)"
"2.3","Arranging of farmers contribution (50% of the cost)",,,,,,,,,,,,,"MDMWPC","AD (P)"
"2.4","Supply and distributions of seed planting trays",,,,,,,,,,,,,"ADO","AD (P)"
"2.5","Monitoring and supervision",,,,,,,,,,,,,"MDMWPC","AI"
"3","Implementation of protected agricultural methods (polytonal)",,,,,,,,,,,,,,
"3.1","Identification and signing of MoU with selected farmers",,,,,,,,,,,,,"AI","AD(P)"
"3.2","Conduct awareness on protected agriculture",,,,,,,,,,,,,"TO","AI"
"3.3","Arranging of farmer contribution (50% of the cost)",,,,,,,,,,,,,"MDMWPC","AI/AD (P)"
"3.4","Supply and distributions of polytonal",,,,,,,,,,,,,"AI","AD (P)"
"3.5","Monitoring and supervision",,,,,,,,,,,,,"MDMWPC","AI"
"4","Supporting fruit cultivation",,,,,,,,,,,,,,
"4.1","Identification farmers and conducting basic awareness on cultivation",,,,,,,,,,,,,"MDMWPC/ AI","ADO"
"4.2","Land preparation for cultivation",,,,,,,,,,,,,"Beneficiaries","AI"
"4.3","Supply and distributions of fruit plants to the farmers",,,,,,,,,,,,,"ADO","AD (P)"
"4.4","Monitoring and supervision",,,,,,,,,,,,,"MDMWPC","AI"
"5","Supporting animal husbandry",,,,,,,,,,,,,,
"5.1","Identification and signing of MOU with selected farmers",,,,,,,,,,,,,"MWMC/LDI","Vet. Surgeon"
"5.2","Conducting basic awareness programs",,,,,,,,,,,,,"LDI","Vet. Surgeon"
"5.3","Supply and providing of suitable animals - Cows, Goat, Chicks",,,,,,,,,,,,,"Vet. Surgeon","DS"
"5.4","Providing support to construction of sheds, Sheds – cow, Sheds – goat",,,,,,,,,,,,,"Vet. Surgeon","DS"
"5.5","Monitoring and supervision",,,,,,,,,,,,,"MDMWPC","LDI"
