"Table 5.53: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  RS","Con  From DSD RS  Institution","Project Con   LKR","Proposed training Partner"
,,,,,,,,
"1","Project Awareness and Orientation Program for 11 MWMs. (MWS-031,032, 033, 034-1,035,036,037,038, 039,040 and 041)","Budget was allocated under MWS-031 (Nildandahinna)","PMU",,,,,
"2","Training of Trainers (for selected officers at DSD level)","Budget was allocated under MWS-031 (Nildandahinna)","DOA/TBD",,,,,
"3","Water Management Training for the Development officer of DAD in Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","DAD/ KITI",,,,,
"4","Agriculture productivity improvement training for ARPAs and EDOs","Budget was allocated under MWS-031 (Nildandahinna)","NRMC+ DEA",,,,,
"5","Good Practices in Agrochemicals and Fertilizer application for ARPAs and EDOs","Budget was allocated under MWS-031 (Nildandahinna)","DOA/ NRMC/University",,,,,
"6","Climate Change Adaptation Training for MWMC (including technical committee members)","1","1","26","68,240","2,500","65,740","DOA/University"
"7","Construction Supervisory – Basic Training for Economic Development Officers","Budget was allocated under MWS-031 (Nildandahinna)","District Engineer of District Secretariat",,,,,
"8","Water Quality Parameters and Testing Training for EDO","Budget was allocated under MWS-031 (Nildandahinna)","NWSDB/NRMC",,,,,
"9","Forest Fire Prevention and Control Training for officers of Forest Department","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"10","Use of RS and GIS in Watershed management for Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"11","Forest Restoration training for officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"12","Integrated Watershed Management training for Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"13","Domestication and use of wild species for watershed management for officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"14","Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers (Nildandahinna DSD)","Budget was allocated under MWS-021-1 (Walapane)","DOA/ NRMC/University",,,,,
"15","Training EDOs and SDO to conduct cascading training on Financial Literacy and Household Money Management (ToT)","Budget was allocated under MWS-031 (Nildandahinna)","CBSL Matale Regional office/CBSL HO",,,,,
"Training for Communities",,,,,,,,
"16","Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND","9","1","450","818,550","-","818,550","Agriculture Park DoA"
"17","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","9","1","450","604,800","-","604,800","NRMC/DOA"
"18","Good Practices in Agrochemicals and fertilizer application and Integrated Pest Management for GPC Community Members and Identified Farmers -One training/GND","9","1","450","595,350","-","595,350","DOA"
"19","Important of Home Garden Improvement for watershed Management (All 11 MWMs in Nildandahinna DSD)","Budget was allocated under MWS-031 (Nildandahinna)","Forest Department",,,,,
"20","Field Day for Soil and Water Conservation Practice and Method for GPC community leaders and Farmers","9","1","450","333,000","-","333,000","AI, AR&PA and EDO/NRMC"
"21","Field Day For Best Practices of Usage of Pesticide, Integrated Pest Control and Fertilizer Application for GPC community members and identified farmers. One training/GND","9","1","450","333,000","-","333,000","AI, AR&PA and EDO"
"22","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","9","1","450","595,800","-","595,800","DOA/NRMC"
"23","Green Skill and Green Technology Concept for Youth and GPC members","9","1","360","668,700","22,500","646,200","DOA"
"24","Climate Change Adaptation training for GPC and selected farmers","9","1","450","531,000","-","531,000","AI,EDO"
"25","Conduct Field Day on Climatic Training Adaptation","9","1","450","315,000","-","315,000","AI & EDO"
"26","Forest Fire Prevention and Control GPC and community members","9","1","450","730,800",,"730,800","Forest Department"
"27","Responsible use of water resources for GPC/GWMC and community members","9","1","450","730,800",,"730,800","Forest Department"
"28","Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Nildandhinna DSD)","Budget was allocated under MWS-021-1 (Walapane)","Trained Teachers",,,,,
"29","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs)","9","1","450","415,800",,"415,800","EDOs &SDO"
"30","Conduct Refresher Training on Household Money Management for GPC and Community Members","9","1","450","288,900",,"288,900","EDO and SDO"
"31","Career Guidance & Career Fair Event (Nildandhinna DSD)","Budget was allocated under MWS-031 (Nildandahinna)","Skills Development Officer & Human Resources Development Assistant of DSD",,,,,
"32","Gender and Social Inclusion Training","1","1","77","87,530","2,500","85,030","TBD"
"33","Community Training - livelihood and Marketing",,,,"895,000",,"895,000",
,"Total Estimated budget",,,,"8,012,270","27,500","7,984,770",
