"Table 5.13: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
"527C","Radha Kandura","7.058998","80.936564","Too much water flow during rainy season.","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m","134,200"
"527C","Hapugarawa Kandura","7.0578","80.93349","Toomuch water flow during rainy season.","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m","134,200"
,,,,,,
"527C","Godamada Kandura","7.053426","80.932861","Toomuch water flow during rainy season.","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m","112,750"
,,,,,,
,,,,,,
"527C","Niyanda Kandura","7.06062","80.930313","Toomuch water flow during rainy season.","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m","121,000"
"527C","Duniyagolla Kandura","7.053763","80.932766","Toomuch water flow during rainy season.","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m","121,000"
"527C","Gadumayaya Kandura","7.065733","80.93506","Toomuch water flow during rainy season.","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m","112,750"
,,,,"Total",,"735,900"
