"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-034-1 belongs to Nildandahinna DS Division","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","527C","Kandeyaya","1. Concreting and improving the dranage system of the road - Gallenabadda- Waralahena Road","5","7.06067","80.93092","100 m","Concrete drain","6,017,000","By the project","0.25 Years"
,,,"2. Concreting and improving the dranage system of the road - Papolagaha Hena Road","4","7.064226","80.930989","100 m","Concrete drain","6,017,000","By the project","0.25 Years"
,,,"3. Concreting and improving the dranage system of the road - Gallenabadda- Bothappe Road","4","7.058854","80.933984","100 m","Concrete drain","6,017,000","By the project","0.25 Years"
,,,"4. Concreting and improving the dranage system of the road - Gallenabadda- Gadumayaya Road","1","7.065733","80.93506","100 m","Concrete drain","6,017,000","By the project","0.25 Years"
,,,"5. Concreting and improving the dranage system of the road - Gallenabadda- Godamada Road","5","7.057458","80.938985","100 m","Concrete drain","6,017,000","By the project","0.25 Years"
,,,"6. Concreting and improving the dranage system of the road - Pahalagama - Papolagaha hena Road","1","7.06618","80.93244","100 m","Concrete drain","6,017,000","By the project","0.25 Years"
,,,"7. Concreting and improving the dranage system of the road - Kandeyaya Main road","1","7.061026","80.944524","100 m","Concrete drain","6,017,000","By the project","0.25 Years"
"Sub Total","42,119,000",,,,,,,,,,
,,,,,,,,"Grand Total","42,119,000",,
