"Table 5.10: Estimate for rehabilitation of Landegedara Lake in Yatimadura GND (518D)","",""
"Item","Work Description","Amount  LKR"
"1","Construction of new CO spill","100,000.00"
"2","Rehabilitation of tank bund",
"2.1","Stripping topsoil and including cut and lift up to 1.5m and haul 60 m distance by machinery","5,197.50"
"2.2","Borrow earth from borrow area cut & lift 0- 2.5m and haul 5.0km including, placing, spreading, trimming, watering and compacting used for PC120 excavator","79,110.00"
"2.3","Gravel excavation for Canal or Tank and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","6,360.00"
"2.4","Forming tank bund machinery (This rate is excluding of transporting of machinery)","7,848.75"
"2.5","Cutting, transporting, planting & watering turf (excluding cost of turf)","66,875.00"
"3","Construction of 3.0m high 1:3:6 (40mm) cement concrete Retaining Wall","4,792,500.00"
"4","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","768,960.00"
"5","Miscellaneous","3,148.75"
,"CIVIL COST","5,830,000.00"
"6","Contingencies 10%","583,000.00"
,"TOTAL COST","6,413,000.00"
