"Table 5.16: Estimate of domestic water supply related activities","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
"518A","Udaliyadda Lake","7.090377","80.92181","Water is used for drinking and bathing","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Provide protective cover over the tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlings and planting at 3.5m x 3.5 m grid interval1/2\" thk 1:3 cement motar plastering to prevent leakages in lining","853,713"
"518A","Diyamolliya","7.084908","80.92037","Deserves to be left as a reserve","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","88,000"
"518D","1.Meegolla Papol patha Lake","7.09996","80.93191","Used for drinking and farming","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"518D","2. Landegedara Lake","7.088147","80.93122","Currently a lake in the jungle and the water of this lake is currently unused","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"518D","Yamuna canal","7.087967","80.936999","Private paddy fields","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","149,600"
"518D","Paragaha arawa canal","7.073968","80.93256","Private paddy fields","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","149,600"
"518E","Paragahaarawa kadura","7.064359","80.924561","A spring to be conserved","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspeciesConstructionofBoulder/Rubbledams(SABO)acrossstreamstotrapsediment‐Size 3m(L)x2m(W)x1m(H)","235,950"
"518F","Wathupitiye Spring","7.066509","80.915692","There is an old tank that leaks water","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","573,500"
"518F","Waththegedara Spring","7.059029","80.914882","Aranya Senasana has water in the fountain","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Provide a water pump","742,500"
"523","Keeriyagolla Spring","7.07844","80.91374","It is located in the road recervaton like a pond","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Provide a mesh cover over the upper side of the tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","755,700"
