"Table 5.17: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
"518A","Thalawa","7.088467","80.919327","Currently a tank is being built and the water is being distributed","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Providing PVC pipes, pipe joints, etc.. to convey water from tank exists at higher elevationVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","769,250"
"518D","Yatimadura GND","7.088147","80.93122","The tank is in dilapidated condition","1/2\" thk 1:3 cement motar plastering to prevent leakages in lining Providing PVC pipes, pipe joints, etc.. to convey water from tank exists at higher elevation","65,000"
"518D","Yatimadura GND","7.08533","80.93243","The tank is in dilapidated condition, Gardening requires a sprinkler water system","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Providing PVC pipes, pipe joints, etc.. to convey water from tank exists at higher elevationVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","770,700"
"523B","In the GND","7.0828","80.9153","Currently a tank is being built and the water is being distributed","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","754,250"
"523B","In the GND","7.07712","80.91845","Currently a tank is being built and the water is being distributed","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","754,250"
"523B","In the GND","7.08109","80.91721","Currently a tank is being built and the water is being distributed","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","26,178"
"518A","Kosgolla","7.091927","80.924421","Near the Kosgolla community hall","Drilling of tube well (5m deep) with supplying and fixing of 0.5 HP x 4\" Dia tube well pump including all necessery connections and constructing a protective cell for the pump and mounting the same to good working order","156,000"
,,,,,"Contingencies 10%",
"523B","Wewathenna","7.07381","80.91781",,"Drilling of tube well (5m deep) with supplying and fixing of 0.5 HP x 4\" Dia tube well pump including all necessery connections and constructing a protective cell for the pump and mounting the same to good working order","156,000"
,,,,,"Contingencies 10%",
"523B","Wewathenna","7.07651","80.91847",,"Repairs to the existing tube well","12,000"
,,,,,"Contingencies 10%",
,,,,"Total",,"3,463,628"
