"Table 5.3: Key OFF-SITE activties proposed for soil and water conservation in MWS-035 belongs to Nildandahinna DS Division","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","518A","Kosgolla","No special issues are reported",,,,,,,,
"2","518F","Demataarawa","No special issues are reported",,,,,,,,
"3","518E","Thunhitiyawa","No special issues are reported",,,,,,,,
"4","524C","Purankumbura","No special issues are reported",,,,,,,,
"5","524B","Goradiyagolla","No special issues are reported",,,,,,,,
"6","525B","Karandagolla","1. Construction of a Retaining Wall - D.M.K Pathmasiri","4","7.05231","80.90057","10 m long and 3.0 m hight","Retaining Wall (Concrete)","1,171,500","By the project","0.25 Years"
,,,"2. Construction of a Toe Wall - Near Mrs. Dissanayake's house","1","7.06027","80.90055","17 m long","Toe Wall","89,191.56","By the project","0.25 Years"
,,,"3. Construction of a Retaining Wall - Hemamala Edirisinghe's house","3","7.06102","80.9009","12 m long and 2 m hight","Retaining Wall (Masonary)","528,000","By the project","0.25 Years"
,,,"4. Construction of a Retaining Wall (slope protection) - H.A Piyasena","5","7.05999","80.90071","10 m long and 3 m hight","Retaining Wall (Concrete)","1,171,500","By the project","0.25 Years"
,,,"5. Construction of a Toe Wall - D.M Ranasinhe","5","7.05958","80.90066","22 m long","Toe Wall","117,042.02","By the project","0.25 Years"
,,,"6. Construction of a Retaining Wall - S.R.M punchibanda","5","7.05193","80.90054","14 m long and 2 m hight","Retaining Wall (Masonary)","616,000","By the project","0.25 Years"
,,,"7. Construction of a Retaining Wall - H.A Sujith Nayanapriya","3","7.05987","80.90093","10 m long and 3 m hight","Retaining Wall (Concrete)","1,171,500","By the project","0.25 Years"
"Sub Total","4,864,733.59",,,,,,,,,,
"7","523B","Wewathenna","No special issues are reported",,,,,,,,
"8","524A","Dambagolla","No special issues are reported",,,,,,,,
"9","524D","Dabbare","No special issues are reported",,,,,,,,
"10","524","Denambure","1. Construction of a Retaining Wall - Gallidapita Ela","4","7.063270","80.894480","300 m long and 2 m high","Retaining Wall (Masonary)","13,200,000.00","By the project","0.5 Years"
"Sub Total","13,200,000.00",,,,,,,,,,
"11","523A","Hegama","1. Construction of a Toe Wall","5","7.07181","80.90328","14 m long","Toe Wall","77,981.29","By the project","0.25 Years"
,,,"2. Construction of a Retaining Wall","2","7.07189","80.90479","8 m long and 3 m high","Retaining Wall (Concrete)","940,500.00","By the project","0.25 Years"
"Sub Total","1,018,481.29",,,,,,,,,,
"12","518D","Yatimadura","1. Construction of a Retaining Wall - Road Earth Slip area","4","7.075988","80.93178","10 m long and 3 m high","Retaining Wall (Concrete)","1,171,500.00","By the project","0.25 Years"
,,,"2. Construction of a Toe Wall - Mrs. R.M. Malkanthi","1","7.078758","80.93403","30 m long","Toe Wall","161,602.76","By the project","0.25 Years"
,,,"3. Construction of a Toe Wall - W.L. Ranjithbandara","3","7.094927","80.939859","15 m long","Toe Wall","83,551.38","By the project","0.25 Years"
,,,"4. Construction of a Toe Wall - Near Mr. Sriyananda's House","1","7.078758","80.93403","15 m long","Toe Wall","83,551.38","By the project","0.25 Years"
"Sub Total","1,500,205.52",,,,,,,,,,
"13","525C","Kotambe","No special issues are reported",,,,,,,,
"14","525A","Udagama","No special issues are reported",,,,,,,,
"15","525","Kumbukwela","No special issues are reported",,,,,,,,
"16","523","Ambanella","No special issues are reported",,,,,,,,
,,,,,,,,"Grand Total","20,583,420.40",,
