"Table 5.31: Highlights the severity of degradation factors within key forest reserves","","",""
"Family","Species","Endemicity","Status"
"Araceae","Rhaphidophora decursiva","N","CR"
"Cyatheaceae","Sphaeropteris crinita","N","EN"
"Lauraceae","Actinodaphne speciosa","E","VU"
"Berberidaceae","Berberis ceylanica","E","VU"
"Oxalidaceae","Biophytum proliferum","N","LC"
"Lauraceae","Cinnamomum ovalifolium","N","VU"
"Poaceae","Davidsea attenuata","EG","VU"
"Orchidaceae","Dendrobium heterocarpum","N","EN"
"Loranthaceae","Dendrophthoe suborbicularis","E","EN"
"Gentianaceae","Exacum macranthum","E","EN"
"Balsaminaceae","Impatiens henslowiana","N","VU"
"Monimiaceae","Hortonia floribunda","EG","EN"
