"Table 5.39: Key stakeholders of Tea lands","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
"Conduct awareness programmes","Dabbare,
Harasbedda,
Yatimadura,
Theripaha","Refreshments","320","Packs","400","128,000","2025 and 2029"
,,"Fuel 
(Rs 3,750/programs) 
- Two visits 
(for organizing and conducting program)","16","Lump sum","3,750","60,000",
,,"Stationaries (file covers/ Handouts)","8","Lump sum","2,500","12,500",
,,,,,"Sub total","200,500",
,,"Contingency (10%)",,,,"20,050",
,,,,,"Total","220,550",
"Establish forest protection action groups",,"Refreshments","150","Packs","400","60,000","2026"
,,"Fuel (Rs 3,750/program)","3","Field visits","3,750","11,250",
,,"Stationaries","3","Lump sum","2,500","12,500",
,,,,,"Sub total","83,750",
,,"Contingency (10%)",,,,"8,375",
,,,,,"Total","92,125",
"Maintain forest boundaries","Yatimadura forest","Clearing land around boundary posts (1m circle)","22","Man days","2,500","55,000","2026"
,,"Cleaning boundary posts","22","Man days","2,500","55,000",
,,"Painting boundary posts with Red and Yellow colours","15","Man days","2,500","37,500",
,,"Numbering boundary posts","3","Man days","2,500","7,500",
,,"Paint, Brushes and thinner","212","Lump sum","100","21,200",
,,,,,"Sub Total","176,200",
,,,,,,"17,620",
,,,,,"Total","193,820",
"Maintain forest boundaries","Harasbedda-11 forest","Clearing land around boundary posts (1m circle)","22","Man days","2,500","55,000","2026"
,,"Cleaning boundary posts","22","Man days","2,500","55,000",
,,"Painting boundary posts with Red and Yellow colours","15","Man days","2,500","37,500",
,,"Clearing land around boundary posts (1m circle)","41","Man days","2,500","102,500",
,,"Cleaning boundary posts","41","Man days","2,500","102,500",
,,"Painting boundary posts with Red and Yellow colours","29","Man days","2,500","72,500",
,,"Numbering boundary posts","5","Man days","2,500","12,500",
,,"Paint, Brushes and thinner","405","Lump sum","100","40,500",
,,,,,"Sub Total","330,500",
,,,,,,"33,050",
,,,,,"Total","363,550",
"Erect display boards","Dabbare,
Harasbedda,
Yatimadura,
Theripaha","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","8","Boards","24,250","194,000","2025"
,,"Transportation of boards","8","Truck load","5,000","40,000",
,,"Metal, Sand and Cement mixture for erection of board","8","Lump sum","750","6,000",
,,"Fixing Boards (2 Man days/Board)","16","Man days","2,500","40,000",
,,,,,"Sub Total","280,000",
,,"Contingency (10%)",,,,"28,000",
,,,,,"Total","308,000",
"Distribute energy efficient stows","Dabbare,
Harasbedda","No of stove","100","Boards","500","50,000","2026"
,,"Transportation of stoves","1","Hire","5,000","5,000",
,,"Loading unloading","1","Man days","2,500","2,500",
,,,,,"Sub Total","57,500",
,,"Contingency (10%)",,,,"5,750",
,,,,,"Total","63,250",
"Home garden Development","Dabbare,
Yatimadura,
Theripaha","Purchasing fruit plants (9\"x6\")","1,200","Seedlings","300","360,000","2026"
,,"Production of Seedlings (Forest plants)","3,600","Seedlings","50","180,000",
,,"Loading (01 Man day/1,800 Seedlings)","3","Man days","2,500","7,500",
,,"Loading unloading (01 Man day/1,800 Seedlings)","3","Man days","2,500","7,500",
,,"Transportation and distribution (2000 Seedling/Lorry load)","3","Lorry load","7,500","22,500",
,,,,,"Sub Total","577,500",
,,"Contingency (10%)",,,,"57,750",
,,,,,"Total","635,250",
"Forest restoration of 5 ha","Walaskele -Goradiyagolla
(7.06906, 80.88623)","Surveying 
(1.5 Man days/ha)","8","Man days","2,500","20,000","2026"
,,"Seedling production, 
500 seedling / ha (12\" x 18\")","2,000","Seedlings","300","600,000",
