"Table 5.49: Timeframe for the implementation","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  LKR","Total Cost  LKR","Contribution     from line agency  GoSL","Final cost to LA  GoSL  LKR"
"Paddy","Tray","Goradiyagolla- 800 Karandagolla-900 Dambagolla- 500 Kotambe- 400 Ambanella-500, Demataarawa 400, Thunhitiyawa 500, Purankumbura 300, Wewathenna 400, Dabbare 300, Denambure 300, Hegama 300, Yatimadura 300, Kosgolla 500, Udagama 400, Kumbukwela 600","7,400","80","592,000","50%","296,000"
,"Electric fence","Goradiyagolla- 4 Karandagolla-4 Dambagolla- 5 Kotambe- 4 Ambanella-5, Demataarawa 4, Thunhitiyawa 3, Purankumbura 4, Wewathenna 4, Dabbare 3, Denambure 3, Hegama 3, Yatimadura 3, Kosgolla 5, Udagama 4, Kumbukwela 5","63","36,000","2,268,000","50%","1,134,000"
"Vegetable","Capsicum","Goradiyagolla- 3 Karandagolla-4 Dambagolla- 4 Kotambe- 4 Ambanella-5, Demataarawa 6, Thunhitiyawa 4, Purankumbura 4, Wewathenna 4, Dabbare 4, Denambure 4, Hegama 3, Yatimadura 3, Kosgolla 4, Udagama 5, Kumbukwela 4","65","40/perches unit - 20g. 3,000","195,000","100%","195,000"
,"Cabbage","Goradiyagolla- 4 Karandagolla-5 Dambagolla- 4 Kotambe- 4 Ambanella-4, Demataarawa 5, Thunhitiyawa 4, Purankumbura 4, Wewathenna 4, Dabbare 2, Denambure 4, Hegama 3, Yatimadura 3, Kosgolla 4, Udagama 5, Kumbukwela 3","62","40/perches unit - 20g. 6,000","372,000","100%","372,000"
,"Green chili","Thunhitiyawa- 4 Purankumbura - 3 Goradiyagolla- 5 Karandagolla-4 Dambagolla-4 Dabbare- Kotambe- 5 Ambanella-3","28","40/perches unit - 50g. 1,500","42,000","100%","42,000"
,"Beans","Thunhitiyawa- 6 Purankumbura - 5 Goradiyagolla- 5 Karandagolla-4 Dambagolla-6 Dabbare- Kotambe- 5 Ambanella-7","38","40/perches unit - 1500g. 4,500","171,000","100%","171,000"
,"Tomato","Purankumbura - 4 Dabbare -5 Udagama -3 Kumbukwela - 4 Ambanella - 4","20","40/perches unit - 10g. 6,000","120,000","100%","120,000"
"Fruits","Banana","Goradiyagolla- 30 Karandagolla-40 Dambagolla- 30 Kotambe- 40 Ambanella-50, Demataarawa 40, Thunhitiyawa 30, Purankumbura 30, Wewathenna 40, Dabbare 30, Denambure 30, Hegama 30, Yatimadura 30, Kosgolla 50, Udagama 40, Kumbukwela 40","580","120","69,600","100%","69,600"
,"Avocado","Goradiyagolla- 50 Dabbare-50 Ambanella- 60","160","200","32,000","100%","32,000"
,"Mango","Purankumbura -25 Goradiyagolla- 65 - Dabbare-60 Kumbukwela-40 Ambanella-50","240","300","72,000","100%","72,000"
"Export Crops","Coffee","Purankumbura -50 Dabbare-2 - Udagama- 110 Kumbukwela-100","262","30","7,860","100%","7,860"
,"Pepper","Goradiyagolla- 600 Karandagolla-500 Dambagolla- 600 Kotambe- 500 Ambanella-500, Demataarawa 400, Thunhitiyawa 500, Purankumbura 400, Wewathenna 400, Dabbare 500, Denambure 400, Hegama 500, Yatimadura 400, Kosgolla 600, Udagama 600, Kumbukwela 400","7,800","40","312,000","100%","312,000"
,"Areca nut","Goradiyagolla- 200 Karandagolla-300 Dambagolla- 200 Kotambe- 300 Ambanella-200, Demataarawa 200, Thunhitiyawa 300, Purankumbura 400, Wewathenna 200, Dabbare 300, Denambure 200, Hegama 200, Yatimadura 300, Kosgolla 200, Udagama 200, Kumbukwela 200","3,900","40","156,000","100%","156,000"
,"Ginger","Goradiyagolla- 200","300","18","5,400","100%","5,400"
"Livestock","No of cow","Purankumbura -1 Goradiyagolla- 4 Karandagolla-2 - Dabbare-10 Kotambe-17 Ambanella-4","38","250,000","9,500,000","50%","4,750,000"
,"No of chicks","Purankumbura -100 Goradiyagolla- 100 Karandagolla-20 - Dambagolla-50 Kotambe-100 Ambanella-100","470","1,500","705,000","50%","352,500"
,"Incubator","Goradiyagolla- 1 - Kotambe- 1","2","60,000","120,000","50%","60,000"
,"No of sheds - cow","Purankumbura -1 Karandagolla-1 - Dabbare-2 Ambanella-2","6","300,000","1,800,000","50%","900,000"
"Protected Agriculture","Polytunnel","Goradiyagolla- 2 Dabbare-2,udagama -2 Ambanella-2","8","700,000","5,600,000","50%","2,800,000"
,"Black Pepper making machines (Balancing kit)","Udagama-10","10","10,000","100,000","50%","50,000"
,"Curry powder grinding","Udagama-1, Ambanella-1","2","120,000","240,000","50%","120,000"
"Total Cost",,,,,"22,479,860",,"12,017,360"
