"Table 5.7: Details Salient features of minor tanks in MWS-035","","","",""
"Tank Name","Udaliyadda wewa","Dambagahamada Lake","Wewathenna Lake","Landegedara Lake"
"GN","Kosgolla","Goradiyagolla","Wewathenna","Yatimadura"
"MWS","MWS-035","MWS-035","MWS-035","MWS-035"
"DS","Nildandahinna","Nildandahinna","Nildandahinna","Nildandahinna"
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya"
"Custodianship","DAD","Forest Dept.","DAD","DAD"
"Year of Construction",,,,
"Location (Lat)","7.09005","7.06391","7.07725","7.088147"
"Location (Lon)","80.91982","80.88444","80.9194","80.93122"
"Hydrological zone",,,,
"Water Surface Area (approx.) (ha)","0.035","0.215","0.225",
"Catchment Area (gross) (km2)",,,,
"Catchment Area (net) (km2)",,,,
"Total command area (ha)","12",,,
"Farmer Organization",,,,
"F.O. registration number",,,,
"Reservations are available or not","Yes","Yes","Yes",
"Reservations are marked or not","No","No","No",
"Bund",,,,
"Bund Length (m)","35","43","50","75"
"Top width (m)","1.5","4","2.5","0.9"
"Visible bund height (m)","2",,"4",
"US & DS slopes (h/b)",,,,
"Availability of rip rap",,,,
"Spillway",,,,
"Station (km+m)",,"0+038","0+0",
"Type",,"CO","0.6m Hume pipe",
"Length (m)",,"1.5",,
"Observed Afflux (m)",,,,
"Duration of spilling (days)",,,,
"Sluice",,,,
"No of Sluices (nos)",,"1","1",
"Station/s (km+m)",,"0+038","0+035",
"Type/s",,"Head wall","Tower HP",
"Barrel size/s (mm)",,"225","225",
"command area of the sluice (ha)",,,,
"Rectification Details","Construction of New CO spill, Desilting and Rehabilitation of Tank Bund","Construction work should be done after taking permission from the forest department","Construction of New CO spill, Desilting, Rehabilitation of Tank Bund.","Construction of New CO spill and sluice and Rehabilitation of Tank Bund and Desilting of tank bed"
