"Table 5.8: Estimate for rehabilitation of Udaliyadda Wewa in Kosgolla GND (528D)","","",""
"Tank Name","Wewa gawa idama","Watapettegas thanna Wewa","Thanahena wewa"
"GN","Kumbukwela","Ambanella","Ambanella"
"MWS","MWS-035","MWS-035","MWS-035"
"DS","Nildandahinna","Nildandahinna","Nildandahinna"
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya"
"Custodianship",,"DAD","DAD"
"Year of Construction",,,
"Location (Lat)","7.05386","7.08595","7.08888"
"Location (Lon)","80.890961","80.90844","80.90717"
"Hydrological zone",,,
"Water Surface Area (approx.) (ha)",,"0.075","0.09"
"Catchment Area (gross) (km2)",,,
"Catchment Area (net) (km2)",,,
"Total command area (ha)",,,
"Farmer Organization",,,
"F.O. registration number",,,
"Reservations are available or not",,"Yes","Yes"
"Reservations are marked or not",,"No","No"
"Bund",,,
"Bund Length (m)",,"30","30"
"Top width (m)",,"3","4.5"
"Visible bund height (m)",,,
"US & DS slopes (h/b)",,,
"Availability of rip rap",,,
"Spillway",,,
"Station (km+m)",,"0+00 0+015","0+015"
"Type",,"CO","CO"
"Length (m)",,"2","3"
"Observed Afflux (m)",,"0.5","0.5"
"Duration of spilling (days)",,,
"Sluice",,,
"No of Sluices (nos)",,"1","1"
"Station/s (km+m)",,"0+015","0+015"
"Type/s",,"Head wall","Head wall"
"Barrel size/s (mm)",,"300","225"
"command area of the sluice (ha)",,,
"Rectification Details","the legal aspect should be observed before construction","It is advisable to desilt tank bed","It is advisable to desilt tank bed"
