"Table 5.10: Estimate for rehabilitation of Raththajja Loku Wewa in Galketiwela GND (519C)","",""
"SI No","Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and hauling the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","192,240"
"2","Filling depressions / runners in tank bund",
"2.1","Stripping topsoil and including cut and lift up to 1.5m and hauling 30m distance by manually","11,770"
"2.2","Earth excavation form, cut & lift up to 1.0m, placing, spreading, watering and compacting by machinery including transport by 0.75 cu Tractor & Tailor within 1.0 Km - 2.0Km -including Forming and Sloping in Tank Bund","16,100"
"2.3","Cutting, transporting, planting & watering turf (excluding cost of turf)","13,375"
"4","Re constructing a sluice","300,000"
"5","Miscellaneous","1,515"
,"CIVIL COST","535,000"
"6","Contingencies 10%","53,500"
,"TOTAL COST","588,500"
