"Table 5.17: Estimates for Domestic water supply in MWS-036","","","","","",""
"GND No","X Name of Spring and place","N","E","Observation","Description","X Amount  LKR"
"517","In Werella - Thibbatugoda Road","7.090159","80.877321","A water storage tank and Distribution tank has been constructed. Water is taken for drinking by beneficiaries in Vatambe Division","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.51:2:4(20mm)concretemanualmix Provide protective mesh cover over the tank Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fenceVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","838,290"
"517","In Werella - Thibbatugoda Road","7.090159","80.877321","Located in a very small area","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","51,040"
"517A","Dolamitiyawe Pihilla","7.09376","80.88145","Located in private paddy land, A water tank is constructed for bathing, About 100 families use the water for bathing","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"517B","Dehigaha Hena","7.084448","80.883816","The well is constructed, As it is located in a paddy field, accumulation of agrochemicals occurs. At present, seven families are getting drinking water using private pumps.","1:2:4concretewithconcretemixer (volume batching)ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5","753,440"
"517B","Pussalapitiya Spring","7.082538","80.885396","Water is taken for paddy cultivation","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","71,900"
"517B","Watawelkele Well","7.080988","80.888245","A well using for bathing","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","755,700"
"517B","Batagala Ella Spring","7.078538","80.884696","A water stock tank and distribution tank are constructed and drinking water is distributed, As the hillside is often set on fire, the laying pipes for water distribution are damage.","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"517B","Near Hinguragala Spring","7.082675","80.884803","Water is taken for paddy cultivation","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"517B","Near Hinguragala","7.082675","80.884803","Reserve should be protected.","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"517C","Spring near the Thotupala","7.08654","80.89098","A water stock tank and distribution tank are constructed and drinking water is distributed, There is no Covering slab","Cover slab with 1:2:4(20mm)concretemanualmix and 1.5 m x 1.5 m size water treatment plant","205,840"
"517C","Rambuke Palugedarawatta Amuna","7.08995","80.88806","Reserve should be protected.","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"517C","Spring near the Thotupalawel Kandura","7.08673","80.89095","Reserve should be protected.","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","56,320"
"517D","Sillu Athula water Spring (Bathing place)","7.09305","80.88761","A water stock tank is constructed and about 20 families water using for bathing","1/2\" thk 1:3 cement motar plastering to prevent leakages in lining","50,000"
"517D","Punchi Kandura Spring","7.09043","80.89252","About 20 families get drinking water informally using pipes, The Spring is located in Dambekele Reserve.","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Provide protective mesh cover over the tank","757,500"
"517D","Aliya Vetuna Mada Spring","7.090849","80.891632","About 20 families get drinking water informally using pipes","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Provide protective mesh cover over the tank","757,500"
"517D","Aliya Vetuna Mada Spring","7.090849","80.891632","Reserve should be protected.","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"519","Punchagala wewa Kalagamwatta","7.105326","80.903884","There is a 22.0m long earth bund and There is no spill and Sluice, Bund Height = about 2.0m and Bund top width = 1.5m","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5 Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","804,100"
"519","Maligathanna Well","7.105586","80.899804","Located at Private land. Diameter of well - 1.8m","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop          Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
