"Table 5.19: Estimates for the rehabilitation of minor irrigation in MWS-036","","","","","",""
"GND No","Name of Irrigation System","N","E","Observation","Description","Amount  LKR"
"157","Werella Maha Ela","7.083016","80.87502","800m long section of canal has been concreted. 150m long side wall has been constructed on the left side of the canal and 35.0m long part of it is broken. Command area 89.0 acres","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","4,416,500"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Construction of 1.2m high 0.15m thk RCC Retaining Wall",
"157","Diyakeduma Ela","7.08684","80.87347","30m long section of canal has been concreted. 18.0m long broken section of the canal has been constructed with 150mm Ø pipes, Command area 80.0 acres","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking      
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m     

Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop   
Construction of 1.8m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,,"4,064,500"
"157","Mathayapala Ela","7.089995","80.876988","1000m long section of canal has been concreted. Water leakage occurs some places in the constructed section, Command area 35.0 acres","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking      
Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m     Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop     
Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating 25% of existing lining interior surface","3,063,500"
"517A","Dodammitiyawe Canal","7.09101","80.88367","A 15m long section of existing concreted canal has been broken, Command area 40.0 acres","Site preparation & setting out     
Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.       
Plywood form work including making, fixing & removing for structure -05 uses    
Cutting, Bending & Placing tor steel reinforcement bars        1:3:6 (40mm) concrete with concrete mixer (volume batching)        
1:2:4 (20mm) concrete with concrete mixer (volume batching)     
Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)           
Machine transport","1,155,000"
,,,,,,
"517A","Dodamgaha arawe Anicut and Canal","7.09043","80.87259","Part of the existing canal has been concreted and balance part earthen canal. Anicut has been concreted. Existing anicut should be repaired. Command area 20.0 acres","Scarifying existing rock or concrete surface     Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing     
Plywood form work including making, fixing & removing for structure -05 uses    
1:2:4 (20mm) concrete with concrete mixer (volume batching)      
Construction of 1.2m high 0.15m thk RCC Retaining Wall        Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking      
Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m     Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","2,084,500"
