"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-036 belongs to Nildandahinna DS Division","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","517","Thibbatugoda","No special issues are reported",,,,,,,,
"2","517A","Watambe","No special issues are reported",,,,,,,,
"3","517B","Thibbatugoda South","No special issues are reported",,,,,,,,
"4","517C","Rambuke","No special issues are reported",,,,,,,,
"5","517D","Arampitiya","No special issues are reported",,,,,,,,
"6","519","Kalaganwatta","No special issues are reported",,,,,,,,
"7","519A","Udawela","No special issues are reported",,,,,,,,
"8","519B","Yombuwelthenna","No special issues are reported",,,,,,,,
"9","519C","Galketiwela","1. Construction of a Retaining Wall - Galketiwela Main Road","5","7.11711","80.89818","16 m long and 3.0 m high","Retaining Wall","1,864,500","By the project","0.25 Years"
,,,"2. Construction of a Retaining Wall - Side wall of Community Hall","4","7.11640","80.89813","18 m long and 3.0 m high","Retaining Wall","2,101,000","By the project","0.25 Years"
"Sub Total","3,965,500",,,,,,,,,,
"10","519D","Hapugahapitiya","No special issues are reported",,,,,,,,
"11","519F","Ellakumbura","No special issues are reported",,,,,,,,
"12","519G","Muganagahapitiya","No special issues are reported",,,,,,,,
"13","524E","Nildandaheenna","1. Construction of a Retaining Wall - Upper part of the playground","5","7.07954","80.89306","60 m long and 3.0 m high","Retaining Wall","6,974,000","By the project","0.25 Years"
"Sub Total","6,974,000",,,,,,,,,,
,,,,,,,,"Grand Total","10,939,500",,
