"Table 5.43: Total estimated cost of production for the three-year period","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2026","2027","2028",,,
,,"RP","DP","RP","DP","RP","DP"
"519","Kalaganwatta","0.2","0.5","0.2","0.5","0.2","0.5"
"517C","Rambuke",,"0.2",,"0.2",,"0.2"
"517B","Thibbatugoda South",,"0.2",,"0.2",,"0.2"
"524E","Nildandaheenna","0.2","0.2","0.2","0.2","0.2","0.2"
"517","Thibbatugoda",,"0.2",,"0.2",,"0.2"
"519C","Galketiwela",,"0.2",,"0.2",,"0.2"
,"Total","0.4","1.5","0.4","1.5","0.4","1.5"
