"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-037 belongs to Nildandahinna DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","518","Udamadura","1. Soil conservation practices - (60°-70°)","5","7.096677","80.919082","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,000,000",,,,,,,,,,,
"2","518B","Udamadura North","1. Soil conservation practices - (60°-70°)","5","7.104736","80.918972","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - (60°-70°)","1","7.105078","80.917743","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","1 Year"
,,,"3. Soil conservation practices - (60°-70°)","4","7.105826","80.916112","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","1 Year"
,,,"4. Soil conservation practices - (70°-80°)","4","7.105436","80.914112","13 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,250,000","Labour and other basic services by the Local community","1 Year"
,,,"5. Soil conservation practices - (15°-30°)","1","7.104576","80.913362","13 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","5,200,000","Labour and other basic services by the Local community","1 Year"
,,,"6. Soil conservation practices - (35°-50°)","1","7.104216","80.913212","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","400,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices)  (60°-70°)","1","7.103226","80.917882","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"8. Soil conservation practices  (60°-70°)","5","7.103146","80.917952","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"9. Soil conservation practices (50°-60°)","1","7.102986","80.912343","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","18,475,000",,,,,,,,,,,
"3","518C","Galkadawela","1. Soil conservation practices - Mr. Gunadasa's and surrounding land (60°-70°)","3","7.102996","80.924691","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
