"Table 5.20: Estimates for Minor Irrigation in MWS-037","","","","","",""
"GND No   A2 C3","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"518","Amunumulla Canal","7.097277","80.92759","Existing Earthen canal, A anicut   Constructed of stone and earth","Construction of AnicutConstruction of 0.9 m high Weir across stream excluding abutments and stop planksConstruction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall 75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m gridCanal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","3,234,000"
"518","Unagahayata Aswedduma Canal","7.096117","80.9208","Existing Earthen canal","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","1,606,000"
"518","Arawa Anicut & Canal","7.096067","80.91966","Existing Earthen canal","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","1,606,000"
"518","Madiththa Kumbura Canal","7.098687","80.92242","Existing Earthen canal","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","1,578,500"
"518","Karandaketiya Canal","7.099607","80.91997","Existing Earthen canal","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","1,582,680"
"518","Ankanu Anicut & Canal","7.099437","80.91958","Existing Earthen canal, A anicut of Construct stone and earth","Construction of AnicutConstruction of 0.9 m high Weir across stream excluding abutments and stop planksConstruction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall 75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m gridCanal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","1,149,500"
"518B","Uda Kumbura Uhana Canal","7.101736","80.92148","Part of Existing Earthen canal","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingMiscellaneousContingencies 10%","632,500"
"518B","Liyangasthanna","7.099957","80.92261","Existing Earthen canal, A anicut of Construct stone and earth","Construction of AnicutConstruction of 0.9 m high Weir across stream excluding abutments and stop planksConstruction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall 75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m gridCanal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","440,000"
"518B","Hambiliyagaha Uhana Canal","7.100946","80.92156","Existing Earthen canal","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","1,138,500"
"518B","Wal Arawa Canal","7.099897","80.92158","Existing Earthen canal","Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","764,500"
"518B","Yonkumbura Canal","7.101876","80.92341","Existing Earthen canal","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","1,606,000"
"518B","Linde Gedara Canal","7.100057","80.92402","Existing Earthen canal","Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","770,000"
"518B","Pitiya Kumbura 1 Anicut & Canal","7.101236","80.9237","Existing Earthen canal","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","770,000"
"518B","Pitiya Kumbura 2 Canal","7.101226","80.92399","Existing Earthen canal","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","1,540,000"
"518B","Kosgahamulla Canal","7.099917","80.9239","Existing Earthen canal","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies 10%","1,155,000"
