"Table 5.23: Details related to water pollution in MWS-037 belongs to the Nildandahinna DS Division","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","518","Udamadura","Potential to add human waste - Udamadura GN Division",,,"30",,,,,,,,
"2","518B","Udamadura North","Potential to add human waste - Udamadura North GN Division",,,"25",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"3","518C","Galkadawela","Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"4","521","Bolagandawela","Potential to add human waste - Purankumbura Village",,,"12",,,,,,,,
"5","521B","Ambagahathenna","Potential to add human waste - Purankumbura Village",,,"13",,,,,,,,
,,,"Improper disposal of domestic waste - Ambagahathanna - New Village",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"Total",,,,,"150,000",,,,,,,,,
