"Table 5.31: Proposed Five-year Plan-MWS-003","","","","","","",""
"Activity.","Location.","Description","Quantity","Units","Rate..LKR.","Amount..LKR.","Duration"
"Distribute woody & fruit Plants to the families around the forest
 (60 Home gardens)","Around Uduwela Udagama, Ingurugolla and Galaha","Purchasing fruit plants (9\"x6\")","600","Seedlings","300","180,000","2025"
"","","Production of Seedlings (Forest plants) (9\"x6\")","1,800","Seedlings","50","90,000",""
"","","Loading (01Man day/1,800 Seedlings)","2","Man days","2,500","5,000",""
"","","Unloading (01 Man day/1,800 Seedlings)","2","Man days","2,500","5,000",""
"","","Transportation and distribution (2000 Seedling/Lorry load)","2","Lorry load","7,500","15,000",""
"","","","","","Sub Total","295,000",""
"","","Contingency (10%)","","","","29,500",""
"","","","","","Total","324,500",""
"Activity","Location","Description","Quantity","Units","Rate (LKR)","Amount (LKR)","Duration"
"Erect display boards
(3 boards)","Around Uduwela Udagama, Ingurugolla and Galaha Pinus Plantations","Preparation of display Boards (2’x3) - (Aluminum sheets and GI pipes)","3","Boards","24,250","72,750","2025"
"","","Transportation of boards","3","Truck load","5,000","15,000",""
"","","Metal, Sand and Cement mixture for erection of boards","3","Lump sum","750","2,250",""
"","","Holing and fixing a board (2 Man days/Board)","6","Man days","2,500","15,000",""
"","","","","","Sub Total","105,000",""
"","","Contingency (10%)","","","","1050",""
"","","","","","Total","106,050",""
"Activity","Location","Description","Quantity","Units","Rate (LKR)","Amount (LKR)","Duration"
"Conduct Awareness Programs
(05 programs) ","Around Uduwela Udagama, Ingurugolla and Galaha Pinus Plantations ","Refreshments","250","Packs","400","100,000","2025"
"","","Fuel Rs (3,750/programs) - Two visits (for organizing and conducting a program))","10","Lump sum","3,750","37,500",""
"","","Stationaries (file covers/ Handouts)","5","Lump sum","2,500","12,500",""
"","","","","","Sub total","150,000",""
"","","Contingency (10%)","","","","15,000",""
"","","","","","Total ","165,000",""
"Activity","Location","Description","Quantity","Units","Rate (LKR)","Amount (LKR)","Duration"
"Establishment and maintenance of fire Belt with “Hana” plants - (Two rows in a zig zag arrangement) -
1.5 km","Ingurugolla Pinus Plantation","Seedling Production (12\"x8\")","900","Seedlings","100","90,000","2025
"
"","","Transportation of seedlings to the site, (300 Seedlings / Lorry load)","3","Lorry loads","7,500","22,500",""
"","","loading and unloading (300 plants/ Man day)","3","Man days","2,500","7,500",""
"","","Seedling transportation within the field (1000/6 Man days)","6","Man days","2,500","15,000",""
"","","Clearing the land, holing and planting (1000 plants/15 Man days)","23","Man days","2,500","56,250",""
"","","Protective net /plant (repurposed fishnet)","900","Net","60","54,000",""
"","","Vacancy Planting -Seedling cost (20%) - Plant cost includes transportation, loading, unloading, transportation within the site","180","Seedlings","150","27,000","2026"
"","","Vacancy Planting - Holing & Planting (7 Man days)","11","Nan days","2,500","26,250",""
"","","1st year 3 maintenance,","90","Man days","2,500","225,000",""
"","","Repairing protective net ","200","Net","60","12,000",""
"",""," "," "," ","Sub Total","523,500",""
"","","Contingency (10%)"," "," "," ","52,350",""
"",""," "," "," ","Total","575,850",""
"Activity","Location","Description","Quantity","Units","Rate (LKR)","Amount (LKR)","Duration"
"Establishment and maintenance of fire Belt with “Hana” plants - (Two rows in a zig zag arrangement) -
1 km","Uduwela Udagama Pinus Plantation","Seedling Production (12\"x8\")","600","Seedlings","100","60,000","2025
"
"","","Transportation of seedlings to the site, (300 Seedlings / Lorry load)","2","Lorry loads","7,500","15,000",""
"","","loading and unloading (300 plants/ Man day)","2","Man days","2,500","5,000",""
"","","Seedling transportation within the field (1000/6 Man days)","4","Man days","2,500","10,000",""
"","","Clearing the land, holing and planting (1000 plants/15 Man days)","15","Man days","2,500","37,500",""
"","","Protective net /plant (repurposed fishnet)","600","Net","60","36,000",""
"","","Vacancy Planting -Seedling cost (20%) - Plant cost includes transportation, loading, unloading, transportation within the site","120","Seedlings","150","18,000","2026"
"","","Vacancy Planting - Holing & Planting (7 Man days)","7","Nan days","2,500","17,500",""
"","","1st year 3 maintenance,","60","Man days","2,500","150,000",""
"","","Repairing protective net ","200","Net","60","12,000",""
"",""," "," "," ","Sub Total","349,000",""
"","","Contingency (10%)"," "," "," ","34,900",""
"",""," "," "," ","Total","383,900",""
"Activity","Location","Description","Quantity","Units","Rate (LKR)","Amount (LKR)","Duration"
"Establishment and maintenance of fire Belt with “Hana” plants - (Two rows in a zig zag arrangement) -
1 km","Galaha Pinus Plantation","Seedling Production (12\"x8\")","600","Seedlings","100","60,000","2025"
"","","Transportation of seedlings to the site, (300 Seedlings / Lorry load)","2","Lorry loads","7,500","15,000",""
"","","loading and unloading (300 plants/ Man day)","2","Man days","2,500","5,000",""
"","","Seedling transportation within the field (1000/6 Man days)","4","Man days","2,500","10,000",""
"","","Clearing the land, holing and planting (1000 plants/15 Man days)","15","Man days","2,500","37,500",""
"","","Protective net /plant (repurposed fishnet)","600","Net","60","36,000",""
"","","Vacancy Planting -Seedling cost (20%) - Plant cost includes transportation, loading, unloading, transportation within the site","120","Seedlings","150","18,000","2026"
"","","Vacancy Planting - Holing & Planting (7 Man days)","7","Nan days","2,500","17,500",""
"","","1st year 3 maintenance,","60","Man days","2,500","150,000",""
"","","Repairing protective net ","200","Net","60","12,000",""
"",""," "," "," ","Sub Total","349,000",""
"","","Contingency (10%)"," "," "," ","34,900",""
"",""," "," "," ","Total","383,900",""
"","","Grand Total","","","","1,939, 200",""
