"Table 5.33: Some characteristic species recorded in MWS-037","","",""
"Family","Species","Endemicity","Status"
"Araceae","Rhaphidophora decursiva","N","CR"
"Cyatheaceae","Gymnosphaera gigantea","N","VU"
"Oxalidaceae","Biophytum proliferum","N","LC"
"Lauraceae","Cinnamomum ovalifolium","N","VU"
"Balsaminaceae","Impatiens henslowiana","N","VU"
"Fabaceae","Dialium ovoideum","E","VU"
"Anacardiaceae","Mangifera zeylanica","E","LC"
"Capparaceae","Capparis moonii","N","EN"
"Achariaceae","Chlorocarpa pentaschista","EG","VU"
"Lauraceae","Cinnamomum citriodorum","E","EN"
"Phyllanthaceae","Phyllanthus emblica","N","VU"
"Santalceae","Santalum album","N",
"Meliaceae","Munronia pinnata","N","EN"
"Myrtaceae","Syzygium zeylanicum","N","LC"
"Pteridaceae","Actiniopteris radiata","N","VU"
