"Table 5.6: Details Salient features of Aliya Eruna Wewa, Pambe Wewa and Dumkolahena Wewa in MWS-037","","",""
"Tank Name","Aliya Eruna Wewa","Pambe Wewa","Dumkolahena Wewa"
"GN","Udamadura","Udamadura","Udamadura"
"MWS","MWS-037","MWS-037","MWS-037"
"DS","Nildandahinna","Nildandahinna","Nildandahinna"
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya"
"Custodianship","DAD","DAD","DAD"
"Year of Construction",,,
"Location (Lat)","7.092230","7.09543","7.09012"
"Location (Lon)","80.90777","80.90917","80.90991"
"Hydrological zone",,,
"Water Surface Area (approx.) (ha)","1.4","1.35","1.32"
"Catchment Area (gross) (km2)",,,
"Catchment Area (net) (km2)",,,
"Total command area (ha)",,,
"Farmer Organization",,,
"F.O. registration number",,,
"Reservations are available or not","Yes","Yes","Yes"
"Reservations are marked or not","No","No","No"
"Bund",,,
"Bund Length (m)","140","125","120"
"Top width (m)","3","3","3"
"Visible bund height (m)","4","4","4"
"US & DS slopes (h/b)","1:2","1:2","1:2"
"Availability of rip rap","No","No","No"
"Spillway",,,
"Station (km+m)","0+60m","0+45m","0+55m"
"Type","Morning Glory (MG)","MG","MG"
"Length (m)","1.2","1.2","1.2"
"Observed Afflux (m)","0.15","0.15","0.15"
"Duration of spilling (days)",,,
"Sluices",,,
"No of Sluices (nos)","1","1","1"
"Station/s (km+m)","0+60","0+45","0+55m"
"Type/s","Head wall","Head wall","H/wall"
"Barrel size/s (mm)","300","300","300"
"command area of the sluice (ha)",,,
"Rectification Details","Desilt, Rehabilitate the bund. Construct an additional new CO spill","Desilt, Rehabilitate the bund .  Construct an additional new CO spill","Desilt, Rehabilitate the bund, including breached section.  Construct an additional new CO spill"
