"Table 5.8: Details Salient features of Papolpatha Wewa and Polgaha Wewa in MWS-037","",""
"Tank Name","Papolpatha Wewa","Polgaha Wewa"
"GN","Galkadawela","Bolagandawela"
"MWS","MWS-037","MWS-037"
"DS","Nildandahinna","Nildandahinna"
"District","Nuwara Eliya","Nuwara Eliya"
"Custodianship",,
"Year of Construction",,
"Location (Lat)","7.098967","7.1165150"
"Location (Lon)","80.93572","80.928281"
"Hydrological zone",,
"Water Surface Area (approx.) (ha)","0.02","0.05"
"Catchment Area (gross) (km2)",,
"Catchment Area (net) (km2)",,
"Total command area (ha)","1.2","5.6"
"Farmer Organization",,
"F.O. registration number",,
"Reservations are available or not","No","No"
"Reservations are marked or not","No","No"
"Bund",,
"Bund Length (m)","24","32"
"Top width (m)","1","3"
"Visible bund height (m)","1.5","2.5"
"US & DS slopes (h/b)","1:1","Vertical / 1:2"
"Availability of rip rap","No spill",
"Station (km+m)",,"0+28m"
"Type",,"CO"
"Length (m)",,
"Observed Afflux (m)",,
"Duration of spilling (days)",,
"No of Sluices (nos)","No sluice","No sluice"
"Station/s (km+m)",,
"Type/s",,
"Barrel size/s (mm)",,
"command area of the sluice (ha)",,
"Rectification Details","Very small water pond","Desilting of tank bed and construction of 1200mm height, 100mm thick concrete curtain wall for the existing concrete toe wall, Rehabilitation of Existing CO spill, Rehabilitation of existing tank bund"
