"ID","MWS","Group","Database","Layer","Name","provider","Level","Geocode","Type","Description","geojson","Year"
1,"MWS-039","Proposal","General Description","Table 2.1: Administrative details of MWS-039","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_2_1.csv",""
2,"MWS-039","Proposal","Land Cover /Land Use Types and Data","Table 2.2: Land use and land cover details of MWS-039","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_2_2.csv",""
3,"MWS-039","Proposal","Climate Details in MWS-039","Table 2.3: Monthly average rainfall details of the MWS-039","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_2_3.csv",""
4,"MWS-039","Proposal","Climate Details in MWS-039","Table 3.4: Monthly average temperature details of the MWS-039","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_3_4.csv",""
5,"MWS-039","Proposal","Population Demographics","Table 2.5: GN-wise demographic details of the MWS-039","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_2_5.csv",""
6,"MWS-039","Proposal","Population Demographics","Table 2.6: Age group categorization of the population of MWS-039 (GN-wise)","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_2_6.csv",""
7,"MWS-039","Proposal","Population Demographics","Table 2.7: Occupational details of the community of MWS-039 (GN-wise)","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_2_7.csv",""
8,"MWS-039","Proposal","Soil and Water Conservation","Table 5.1: Distribution of soil erosion hazard classes in MWS-039.","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_5_1.csv",""
9,"MWS-039","Proposal","Soil and Water Conservation","Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-039 belongs to Nildandahinna DS Division","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_5_2.csv",""
10,"MWS-039","Proposal","Soil and Water Conservation","Table 5.3: Details of Reported landslides in MWS-039","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_5_3.csv",""
11,"MWS-039","Proposal","Restoration of Existing or Identification of New Minor Tanks","Table 6.4: Details of minor tanks available in MWS-039","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_4.csv",""
12,"MWS-039","Proposal","Restoration of Existing or Identification of New Minor Tanks","Table 6.5: Details Salient features of minor tanks in MWS-039","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_5.csv",""
13,"MWS-039","Proposal","Restoration of Existing or Identification of New Minor Tanks","Table 6.6: Estimate for rehabilitation Welituduwa wewa in Helagama GNDMWS-039","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_6.csv",""
14,"MWS-039","Proposal","Restoration of Existing or Identification of New Minor Tanks","Table 6.7: Implementation schedule of the tank in MWS-039","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_7.csv",""
15,"MWS-039","Proposal","Water Resource Management for Drinking Water Supply and Irrigation","Table 6.8: Estimate of domestic water supply related activities","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_8.csv",""
16,"MWS-039","Proposal","Water Resource Management for Drinking Water Supply and Irrigation","Table 6.9: Cost estimate of minor irrigation-related proposals with locations","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_9.csv",""
17,"MWS-039","Proposal","Water Resource Management for Drinking Water Supply and Irrigation","Table 6.10: Time frame for implementing domestic water and water source protection","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_10.csv",""
18,"MWS-039","Proposal","Water Resource Management for Drinking Water Supply and Irrigation","Table 6.11: Time frame for implementation of minor irrigation proposals","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_11.csv",""
19,"MWS-039","Proposal","Water Quality Improvement","Table 6.12: Details related to water pollution in MWS-039 belongs to the Nildandahinna DS Division","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_12.csv",""
20,"MWS-039","Proposal","Conservation of Stream Reservations","Table 6.13: Brief description of legal provisions","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_13.csv",""
21,"MWS-039","Proposal","Conservation of Stream Reservations","Table 6.14: Total Cost Estimate for Stream Reservation Proposals","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_14.csv",""
22,"MWS-039","Proposal","Conservation of Stream Reservations","Table 6.15: Time frame for implementing stream reservation activities","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_15.csv",""
23,"MWS-039","Proposal","Product and Entrepreneurship Development with Marketing Support and Tourism Development","Table 6.16: Packaging and transport of agricultural produce","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_16.csv",""
24,"MWS-039","Proposal","Product and Entrepreneurship Development with Marketing Support and Tourism Development","Table 6.17: Cost estimates and Time frame","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_17.csv",""
25,"MWS-039","Proposal","Forest Management","Table 6.18: Vegetation types in the MWS-039","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_18.csv",""
26,"MWS-039","Proposal","Forest Management","Table 6.19:  Provides the dominant species found in the natural vegetation in Upper Mahaweli Watershed.","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_19.csv",""
27,"MWS-039","Proposal","Forest Management","Table 6.20:  Some characteristic species recorded in MWS-039","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_20.csv",""
28,"MWS-039","Proposal","Forest Management","Table 6.21: Highlights the severity of degradation factors within key forest reserves.","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_039/Table_6_21.csv",""
