"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-039 belongs to Nildandahinna DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","521F","Helagama","1. Soil conservation practices (50°-60°) - Helagama Division","1","7.11953","80.92131","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices (50°-60°) - Helagama Division","4","7.11027","80.91779","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"3. Soil conservation practices (50°-60°) - Helagama Division","1","7.120555","80.921901","13 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,250,000","Labour and other basic services by the Local community","1 Year"
,,,"4. Soil conservation practices (50°-70°) - Alawatu thenna private land","4","7.112206","80.921291","32 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","8,000,000","Labour and other basic services by the Local community","1.5+ Years"
"Sub Total","20,250,000",,,,,,,,,,,
"2","521 D","Mallagama","1. Soil conservation practices (50°-70°) - Mallagama Division","5","7.127345","80.918942","32 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","8,000,000","Labour and other basic services by the Local community","1.5+ Years"
"Sub Total","8,000,000",,,,,,,,,,,
"3","521 E","Dulana","1. Soil conservation practices (50°-60°) - Dulana Division","4","7.121555","80.908633","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","3,000,000",,,,,,,,,,,
"4","521 C","Theripehe","1. Soil conservation practices)  (50°-70°) - Imbulpathana gama","1","7.116455","80.913582","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices  (50°-70°) - Higuruwela gama","5","7.118525","80.917242","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices (50°-60°) - Welithuduwa","1","7.111386","80.914052","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,000,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"35,250,000",,
