"Table 6.28: Proposed interventions MWS-039","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
"Conduct 04 awareness programmes","Keenagolla,
Theripaha","Refreshments","200","Packs","400","80,000","2025"
,,"Fuel                                                  (Rs 3,750/programs) - Two visits
 (for organizing and conducting program)","8","Lump sum","3,750","30,000",
,,"Stationaries (file covers/ Handouts)","4","Lump sum","2,500","12,500",
,,,,,"Sub total","122,500",
,,"Contingency (10%)",,,,"12,250",
,,,,,"Total","134,750",
"Establish 
02 forest protection action groups","Keenagolla,
Theripaha","Refreshments","100","Packs","400","40,000","2025"
,,"Fuel 
(Rs 3,750/program)","2","Field visits","3,750","7,500",
,,"Stationaries","2","Lump sum","2,500","12,500",
,,,,,"Sub Total","60,000",
,,"Contingency (10%)",,,,"6,000",
,,,,,"Total","66,000",
"Erect 04 display boards","Keenagolla,
Theripaha","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","4","Boards","24,250","97,000","2026"
,,"Transportation of boards","4","Truck load","5,000","20,000",
,,"Metal, Sand and Cement mixture for erection of board","4","Lump sum","750","3,000",
,,"Fixing Boards
 (2 Man days/Board)","8","Man days","2,500","20,000",
,,,,,"Sub Total","140,000",
,,"Contingency (10%)",,,,"14,000",
,,,,,"Total","154,000",
"Distribute 60 energy efficient stows","Keenagolla,
Theripaha","No of stove","60","Boards","500","30,000","2026"
,,"Transportation of stoves","1","Hire","5,000","5,000",
,,"Loading unloading","1","Man days","2,500","2,500",
,,,,,"Sub Total","37,500",
,,"Contingency (10%)",,,,"3,750",
,,,,,"Total","41,250",
"Home garden Development (Introduce live fences) 60 units","Keenagolla,
Theripaha","Purchasing fruit plants (9\"x6\")","600","Seedlings","300","180,000","2025"
,,"Production of Seedlings (Forest plants)","1,800","Seedlings","50","90,000",
,,"Loading                                             (01 Man day/1,800 Seedlings)","2","Man days","2,500","5,000",
,,"Loading unloading                          (01 Man day/1,800 Seedlings)","2","Man days","2,500","5,000",
,,"Transportation and distribution (2000 Seedling/Lorry load)","2","Lorry load","7,500","15,000",
,,,,,"Sub Total","295,000",
,,"Contingency (10%)",,,,"29,500",
,,,,,"Total","324,500",
"Conversion of exotic plantations into native species (Only by gap opening)","Meeriyabedda (Nildhandahinna 005-03 sub block)","Sample survey (2 MD)","12","Man days","2,500","30,000","2026"
,,"Enumeration 
(12 MD) Assuming 400 trees to be enumerated)","72","Man days","2,500","180,000",
,,"Seedling production (12”x18”) Need 400 Plants/ha)","2,400","Seedlings","300","720,000",
,,"Shade tree establishment 
(12 Man days/ha)","72","Man days","2,500","180,000",
,,"Seedlings for shade tree establishment (9”x6”) Need 800 Plants/ha)","4,800","Seedlings","45","216,000",
,,"Transportation of seedlings (12\"x18\")- 300 Seedling/Lorry load","8","15","10,000","80,000","2027"
,,"Transportation of seedlings (9\"x6\")- 2000/Lorry load","3","15","10,000","30,000",
,,"Purchasing of Compost
 (10 kg /plant)","72,000","Kg","10","720,000",
,,"Transportation of Compost 10,000kg/Lorry load","8","-","7,500","60,000",
,,"Clearing the land (12 MD/ha)","72","Man days","2,500","180,000",
,,"Head load transportation within the site 
(8 MD/ha)","48","Man days","2,500","120,000",
,,"Holing and planting (32 MD/ha)","192","Man days","2,500","480,000",
,,"Purchasing Fertilizer (no fertilizer for shade trees)","240","Kg","300","72,000",
,,"Applying fertilizer (4 MD/ha)","24","Man days","2,500","60,000",
,,"Vacancy Planting -Seedling cost (20%)","480","Seedlings","300","144,000","2028"
,,"Vacancy Planting - Holing & Planting
 (7 Man days)","42","Man days","2,500","105,000",
