"Table 6.38: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  LKR","Total Cost  LKR","Contribution     from GoSL","Final cost to LA  GoSL  LKR"
"Paddy","Tray","Helagama 200 Mallagama 250 Dulana 100 Theripehe-100","650","80","52,000","50%","26,000"
,"Electric fence","Helagama 3 Mallagama 3 Dulana 2 Theripehe-2","10","36,000","360,000","50%","180,000"
"Vegetable","Capsicum","Helagama 4 Mallagama 6 Dulana 5 Theripehe 4","19","40/perches unit - 20g. 3,000","57,000","100%","57,000"
,"Cabbage","Helagama 4 Mallagama 3 Dulana 4","11","40/perches unit - 20g. 6,000","66,000","100%","66,000"
,"Green chili","Helagama 5 Mallagama 6 Dulana 5 Theripehe 5","21","40/perches unit - 50g. 1,500","31,500","100%","31,500"
,"Beans","Helagama 4 Mallagama 2 Dulana 5 Theripehe 2","13","40/perches unit - 1500g. 4,500","58,500","100%","58,500"
,"Tomato","Helagama 2 Mallagama 2 Dulana 3 Theripehe 2","9","40/perches unit - 10g. 6,000","54,000","100%","54,000"
"Fruits","Banana","Helagama- 50 Mallagama- 50 Dulana- 80 Theripehe-70","250","120","30,000","100%","30,000"
,"Avocado","Helagama 40 Mallagama- 35 Dulana- 50 Theripehe-60","185","200","37,000","100%","37,000"
,"Mango","Helagama- 30 Mallagama- 40 Dulana 50 Theripehe-50","170","300","51,000","100%","51,000"
"Export Crops","Coffee","Helagama- 400 Mallagama- 600 Dulana- 600 Theripehe-800","2,400","30","72,000","100%","72,000"
,"Pepper","Helagama- 700 Mallagama- 600 Dulana- 800 Theripehe-700","2,800","40","112,000","100%","112,000"
,"Ginger","Theripehe-100","100","18","1,800","100%","1,800"
"Livestock","No of cow","Mallagama-1  Dulana- 1 Theripehe -1","3","250,000","750,000","50%","375,000"
,"No of chicks","Helagama- 90 Mallagama 70 Dulana- 50 Theripehe-80","400","1,500","600,000","50%","300,000"
,"No of sheds - cow","Theripehe -2","15","300,000","4,500,000","50%","2,250,000"
"Protected Agriculture","Polytunnel","Theripehe -1","1","700,000","700,000","50%","350,000"
"Value added products","Bee keeping box","Helagama- 5 Mallagama- 7 Dulana 8- Theripehe-10","30","8,000","240,000","75%","180,000"
,"Black Pepper making machines","Dulana-1  Theripehe-3","4","10,000","40,000","50%","20,000"
"Total Cost",,,,,"7,812,800",,"4,251,800"
