"Table 5.32: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from GoSL","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Hegasulla- 200","200","80","16,000.00","50%","8,000.00"
,"Electric fence","Hegasulla-5","5","36,000.00","180,000.00","50%","90,000.00"
,"Green chili","Hegasulla-10","10","40/perches unit - 50g. 1,500.00","15,000.00","100%","15,000.00"
,"Beans","Hegasulla-6","6","40/perches unit - 1500g. 4,500.00","27,000.00","100%","27,000.00"
,"Tomato","Hegasulla- 10","10","40/perches unit - 10g. 6,000.00","60,000.00","100%","60,000.00"
"Fruits","Banana","Hegasulla-100","100","120","12,000.00","100%","12,000.00"
,"Mango","Hegasulla-50","50","300","15,000.00","100%","15,000.00"
,"Orange","Hegasulla-50","50","100","5,000.00","100%","5,000.00"
"Export Crops","Coffee","Hegasulla-400","400","30","12,000.00","100%","12,000.00"
,"Pepper","Hegasulla-600","600","40","24,000.00","100%","24,000.00"
,"Ginger","Hegasulla-50","50","18","900.00","100%","900.00"
"Livestock","No of cow","Hegasulla-1","1","250,000.00","250,000.00","50%","125,000.00"
,"No of chicks","Hegasulla-50","50","1,500.00","75,000.00","50%","37,500.00"
"Protected Agriculture","Polytunnel","Hegasulla-1","1","700,000.00","700,000.00","50%","350,000.00"
"Value added products","Bee keeping (Box  & bees)","Hegasulla-10","10","8,000.00","80,000.00","75%","60,000.00"
,"Black Pepper making machines (Balancing kit)","Hegasulla-2","2","10,000.00","20,000.00","50%","10,000.00"
"Total Cost",,,,,"1,491,900.00",,"851,400.00"
