"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-100-1","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  Rs","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","646","Galpihilla","1. Soil conservation practices - Gardens (40° - 70°)","4","7.352506","80.711832","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Gardens (40° - 70°)","4","7.353596","80.712913","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,500,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Gardens (40° - 70°)","5","7.351625","80.712916","7 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,750,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","4,250,000.00",,,,,,,,,,,
"2","648","Makkanigama","1. Soil conservation practices - Gardens (50° - 70°)","3","7.349338","80.700462","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","750,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Gardens (50° - 70°)","1","7.350773","80.700295","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,250,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Gardens (50° - 70°)","2","7.341958","80.69922","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,000,000.00",,,,,,,,,,,
,,,,,,,,"Grand Total",,"7,250,000.00",,
