"Table 5.31: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Makkanigama-100, Galpihilla-200","300","80","24,000.00","0.5","12,000.00"
,"Electric fence","Makkanigama-0, Galpihilla-3","3","36,000.00","108,000.00","0.5","54,000.00"
"Vegetable","Capsicum","Makkanigama-10 Galpihilla-20","30","40/perch’s unit - 20g. 3,000.00","90,000.00","1","90,000.00"
,"Green chili","Makkanigama-20 Galpihilla-10","30","40/perch’s unit - 50g. 1,500.00","45,000.00","1","45,000.00"
,"Beans","Makkanigama-2 Galpihilla-3","5","40/perch’s unit - 1500g. 4,500.00","22,500.00","1","22,500.00"
,"Tomato","Makkanigama-10 Galpihilla-10","20","40/perch’s unit - 10g. 6,000.00","120,000.00","1","120,000.00"
,,,,,,,
"Fruits","Banana","Makkanigama-5 Galpihilla-6","11","120","1,320.00","1","1,320.00"
,"Avocado","Makkanigama-25 Galpihilla-50","75","200","15,000.00","1","15,000.00"
,"Mango","Makkanigama-35 Galpihilla-75",,"300","33,000.00","1",
,,,"110",,,,"33,000.00"
"Export Crops","Coffee","Makkanigama-200 Galpihilla-300","500","30","15,000.00","1","15,000.00"
,"Pepper","Makkanigama-200 Galpihilla-250","450","40","18,000.00","1","18,000.00"
,"Vanilla","Makkanigama-125, Galpihilla-100","225","40","9,000.00","1","9,000.00"
,"Areca nut","Makkanigama-75 Galpihilla-100","175","40","7,000.00","1","7,000.00"
"Livestock","No of cow","Makkanigama-1 Galpihilla-2","3","250,000.00","750,000.00","0.5","375,000.00"
,"No of chicks","Makkanigama-45 Galpihilla-100","145","1,500.00","217,500.00","0.5","108,750.00"
,"No of sheds - cow","Makkanigama-0 Galpihilla-1","1","300,000.00","300,000.00","0.5","150,000.00"
,"No of sheds - goat","Makkanigama-0 Galpihilla-2","2","150,000.00","300,000.00","0.5","150,000.00"
"Protected Agriculture","Polytunnel","Makkanigama-0 Galpihilla-2","2","700,000.00","1,400,000.00","0.5","700,000.00"
,,,,,,,
"Value added products","Bee keeping (Box 4000/= bees)","Makkanigama-4 Galpihilla-5","9","8,000.00",,"0.75","54,000.00"
,,,,,"72,000.00",,
"Total Cost",,,,,,,"1,979,570.00"
,,,,,"3,547,320.00",,
