"Table 5.4: Cost estimate of water source protection related proposals","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"646","Spring at the sri sumanarama Temple","7.349118","80.707330","The well is good condition.","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5","742,500"
,,,,,,
"646","Galpihilla waththa Water spring","7.350777","80.709870","There is a 2.0mx2.0mx3.0m(LxWxH)well. Water is taken for   bathing","150mm x 225mm Random Rubble masonry work in 1:5 cement and sand mortar in structuresPlaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floatingWater treatment unit 1.5 m x 1.5 mMiscellaneousContigencies (10%)","245,960"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"646","Co-operative well","7.351484","80.710759","There is a 1.8mx1.8mx4.0m(LxWxH)well. Water is taken for   bathing","150mm x 225mm Random Rubble masonry work in 1:5 cement and sand mortar in structuresPlaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floatingMiscellaneousContigencies (10%)","31,900"
,,,,,,
,,,,,,
,,,,,,
"646","Peppam Pihilla","7.351625","80.706333","There is a 2.2m dia and 2.5m hight well. Water is taken for bathing","150mm x 225mm Random Rubble masonry work in 1:5 cement and sand mortar in structuresPlaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating1:3:6 (40mm) concrete manual mix (volume batching)MiscellaneousContigencies (10%)","74,250"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"646","Galpihilla waththa Lima linda","7.349032","80.708493","There is a 2.2m dia and 3.0m hight well. Water is taken for bathing.The walls of well have collapsed .","150mm x 225mm Random Rubble masonry work in 1:5 cement and sand mortar in structuresPlaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating1:3:6 (40mm) concrete manual mix (volume batching)MiscellaneousContigencies (10%)","105,600"
,,,,,,
"648","Totillagahamada linda","7.351231","80.701164","There is a 2.2m dia and 3.5m hight well. Water is taken for driking and bathing","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating1:3:6 (40mm) concrete manual mix (volume batching)MiscellaneousContigencies (10%)","19,800"
,,,,,,
,,,,,,
"648","Ihalagama public well","7.345006","80.701525","There is a 1.2mx1.2mx1.3.0m(LxWxH)well. Water is taken for   drinking","Fabricating&fixingsecurityweldmeshinopen typebuildingsinGIweldmesh50mmx50mm SWG10,weldedon40mmx40mmx5mm angleframecompletewithapplicationoftwo coatsenamelpaintovertwocoatsof anticorrosivepaintandcomplete. Allasperdetaildrawing No.CPC/CS/11/04/2017/TYPE‐ST/07150mm x 225mm Random Rubblemasonry work in 1:5 cement and sandmortar in structuresPlaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating1:3:6 (40mm) concrete manual mix (volume batching)MiscellaneousContigencies (10%)","24,750"
,,,,,,
"648","Yakadakumburuwela Podulinda","7.34896","80.701175","There is a 2.5mx2.5mx3.5m(LxWxH)well. Water is taken for   bathing","150mm x 225mm Random Rubble masonry work in 1:5 cement and sand mortar in structuresPlaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating1:3:6 (40mm) concrete manual mix (volume batching)MiscellaneousContigencies (10%)","176,110"
,"Total","1,420,870",,,,
