"Table 2.7: Occupational details of the community of MWS-101-1 (GN-wise)","","","","","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8","NA  9","NA  10","NA  11","NA  12"
,,"Executive/ Manager","Clerk","Industrial","Security Services","Foreign employment","Masonry","Carpenter","Animal Husbandry","Business","Apparel","Labour","Agriculture","Plantations","Others"
"720","Maluwegama","6","49","17","35","18","14","6","4","23","108","71","63","35","217"
"723","Naranpanawa East","3","19","9","28","8","6","5","3","19","21","13","42","9","0"
"647","Dunuhappawa","3","6","19","16","8","35","17","14","16","28","389","34","2","11"
"719","Gonawala South","2","6","9","31","73","2","2","28","25","48","0","1","0","0"
"716","Kumbukkandura North","0","3","15","0","0","5","2","60","120","15","37","0","0","145"
"649","Alawathugirigama",,"5","3","16","22","9","3","7","8","77","381","42","0","0"
"717","Kumbukkandura South","0","0","10","0","58","7","4","17","30","10","141","0","0","120"
"718","Gonawala North","10","26","88","15","45","38","12","12","21","52","149","57","0","378"
"721","Wepathana","3","30","30","36","11","12","5","4","5","25","24","40","4","20"
"722","Kuruambemuduna","3","28","9","24","11","4","4","3","5","33","20","5","48","40"
"724","Kandekumbura","2","39","36","20","17","8","7","22","11","22","38","120","8","150"
"725","Naranpanawa West","2","15","11","21","13","11","9","7","10","43","49","31","17","39"
"Total","34","226","256","242","284","151","76","181","293","482","1312","435","123","1120",
