"Table 5.14: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  Rs"
"647","Halgolla canal","7.354114","80.723694","Part of the existing canal has been concreted and balance part earthen canal, Command area 10 acres","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","1,083,500.00"
,,,,,,
"649","Godakumburu canal","7.345110","80.713060","Part of the existing canal has been concreted and balance part earthen canal, Command area 8 acres","Site preparation & setting outEarth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.Plywood form work including making, fixing & removing for structure -05 usesCutting, Bending & Placing tor steel reinforcement bars1:3:6 (40mm) concrete with concrete mixer  (volume batching)1:2:4 (20mm) concrete with concrete mixer  (volume batching) Spreading , Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)Machine transportTidying upContingancies 10%","1,177,000.00"
,,,,,,
,,,,,,
"649","Palkadayaya canal","7.349950","80.712980","Part of the existing canal has been concreted and balance part earthen canal, Command area 7 acres","Site preparation & setting outEarth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.Plywood form work including making, fixing & removing for structure -05 usesCutting, Bending & Placing tor steel reinforcement bars1:3:6 (40mm) concrete with concrete mixer  (volume batching)1:2:4 (20mm) concrete with concrete mixer  (volume batching) Spreading , Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)Machine transportTidying upContingancies 10%","1,562,000.00"
,,,,,,
"649","Palkadayaya  sub canal","7.348620","80.712690","Existing Earthen canal,  Command area 5.0 acres","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","456,500.00"
,,,,,,
"649","Wagalekumbura canal","7.347140","80.712060","Existing Earthen canal,  Command area 7.0 acres","Dry rubble packing (with locally found rubble, size over 225mm )Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","324,500.00"
,,,,,,
"649","Pitakotuwekumbura Anicut","7.345380","80.709970","The current concrete anicut is 20 m long and 1.5 m hight.the wall is slightly lean.Command area 0.5 acres","Spreading , Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)MiscellaneousContingancies 10%","16,500.00"
,,,,,,
,,,,,,
"718","Dodamgolla canal","7.312072","80.733703","Part of the existing canal has been concreted and balance part earthen canal, Command area 18 acres","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","1,677,500.00"
,,,,,,
"720","Kudalu canal","7.322752","80.739739","Existing Earthen canal,  Command area 6.0 acres","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","561,000.00"
,,,,,,
"720","Godakumburu canal","7.320067","80.739047","Existing Earthen canal,  Command area 8.0 acres","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","946,000.00"
,,,,,,
"721","Wepathana canal","7.322247","80.728521","Existing Earthen canal,  Command area 10.0 acres","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","1,083,500.00"
,,,,,,
,,,,,,
"723","Puhulpanawa canal","7.345958","80.733775","The left side of the embankment has collapsed 12m,Command area22.0 acres","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingMiscellaneousContingancies 10%","731,500.00"
,,,,,,
"723","Attalawala canal","7.341333","80.732103","Part of the existing canal has been concreted and balance part earthen canal, Command area 22 acres","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","770,000.00"
,,,,,,
"723","Palle canal","7.343106","80.733669","Part of the existing canal has been concreted and balance part earthen canal, Command area 7 acres","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","715,000.00"
,,,,,,
"723","Udupitiye canal","7.347782","80.729935","Part of the existing canal has been concreted and balance part earthen canal, Command area 8 acres","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","841,500.00"
,,,,,,
,,,,,,
"724","Keenapitiya canal","7.340040","80.720610","Existing Earthen canal,  Command area 7 acres","Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall MiscellaneousContingancies 10%","671,000.00"
,,,,,,
"725","Dematagolla anicut and canal","7.354320","80.727870","Part of the existing canal has been concreted and balance part earthen canal, Command area 20 acres","Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall MiscellaneousContingancies 10%","671,000.00"
,,,,,,
"725","Beerahena canal","7.354517","80.730010","Part of the existing canal has been concreted and balance part earthen canal, Command area 12acres","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","1,292,500.00"
,,,,,,
"725","Thanna gammedda canal","7.347330","80.733620","Part of the existing canal has been concreted and balance part earthen canal, Command area 05 acres","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingancies 10%","528,000.00"
,,,,,,
,,,,,"Total","15,108,500.00"
