"Table 5.15: Details related to water pollution in MWS-101-1 belongs to Kundasale DS Division","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N","E",,,"N","E",,,,,
"1","647","Dunuhappawa","Potential to add human waste - Nearly state area",,,"14",,,,,,,,
"2","649","Alawathugirigama","Potential to add human waste - Medagammedda",,,"2",,,,,,,,
"3","716","Kumbukkandra North","No special issues reported",,,,,,,,,,,
"4","717","Kumbukkandra South","No special issues reported",,,,,,,,,,,
"5","718","Gonawala North","No special issues reported",,,,,,,,,,,
"6","719","Gonawala South","No special issues reported",,,,,,,,,,,
"7","720","Maluwegama","Addition of houshold wastes/garbage to the torrent - Bathing places nearly springs",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"8","721","Wepathana","Addition of houshold wastes/garbage",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"9","722","Kuruambemuduna","No special issues reported",,,,,,,,,,,
"10","723","Naranpanawa East","Addition of houshold wastes/garbage to the torrent - Bathing Place, Huluganga",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"11","724","Kandekumbura","No special issues reported",,,,,,,,,,,
"12","725","Naranpanawa West","No special issues reported",,,,,,,,,,,
,,"Total","150,000.00",,,,,,,,,,,
