"Table 5.26: Proposed interventions MWS-101-1","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
"Conduct 14 Awareness Programs","Around Morella Rain Forest (Narampanawa), Katukandagolla forest, Delgaslanda and Dunuhappawa
 forest","Refreshments","560","Packs","400","224,000","2025"
,,"Fuel                                                  (Rs 3,750/programs) - Two visits ( for organizing and conducting program)","28","Lump sum","3,750","105,000",
,,"Stationaries (file covers/ Handouts)","14","Lump sum","2,500","12,500",
,,,,,"Sub total","341,500",
,,"Contingency (10%)",,,,"34,150",
,,,,,"Total","375,650",
"Erect 08 Display Boards (DWC)","Narampanawa, Morella, Katukandagolla, Delgaslanda and Dunuhappawa","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","8","Boards","24,250","194,000","2025"
,,"Transportation of boards","8","Truck load","5,000","40,000",
,,"Metal, Sand and Cement mixture for erection of board","8","Lump sum","750","6,000",
,,"Fixing Boards (2 Man days/Board)","16","Man days","2,500","40,000",
,,,,,"Sub Total","280,000",
,,"Contingency (10%)",,,,"28,000",
,,,,,"Total","308,000",
"Erect 08 Display Boards (DWC)","KDK stationary, Kumbukkandura, Victoria view resort, Oruthota, Huluganga","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","8","Boards","24,250","194,000","2026"
,,"Transportation of boards","8","Truck load","5,000","40,000",
,,"Metal, Sand and Cement mixture for erection of board","8","Lump sum","750","6,000",
,,"Fixing Boards (2 Man days/Board)","16","Man days","2,500","40,000",
,,,,,"Sub Total","280,000",
,,"Contingency (10%)",,,,"28,000",
,,,,,"Total","308,000",
"Promote Allay Cropping 
- 02 ha
(Collectively 01 ha in each location)","Narampanawa","Purchasing fruit plants (12\"x18\")","660","Seedlings","300","198,000","2026"
,,"Loading                                                                           (01 Man day/300 Seedlings)","3","Man days","2,500","7,500",
,,"Loading unloading                                                      (01 Man day/300 Seedlings)","3","Man days","2,500","7,500",
,,"Transportation and distribution (300 Seedling/Lorry load)","3","Lorry load","7,500","22,500",
,,"Transportation of seedlings inside the field (5 Man days / ha)","8","Man days","2,500","12,500",
,,"Holing and planting (33 Man days /ha)","54","Man days","2,500","136,125",
,,"Vacancy Planting -Seedling cost (20%)","132","Seedlings","300","39,600",
,,"Vacancy Planting - Holing & Planting (7 Man days)","12","Man days","2,500","28,875",
,,,,,"Sub Total","452,600",
,,"Contingency (10%)",,,,"45,260",
,,,,,"Total","497,860",
"Boundary Demarcation
(14 km- Including boundary belongs to Panwila DSD)","Morella Rain Forest 7.370846, 80.729190","Purchase boundary posts","560","Boundary posts","4,500","2,520,000","2026"
,,"Loading boundary posts","6","Man days","2,500","15,000",
,,"Unloading boundary posts","6","Man days","2,500","15,000",
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","6","2,500","2,500","15,000",
,,"Head load - Transport boundary posts to the forest boundary","280","Man days","2,500","700,000",
,,"Holing (500 mm x 200mm x 200)","56","Man days","2,500","140,000",
,,"Preparation field and erection","56","Man days","2,500","140,000",
,,"Cost of Cement, metal and sand","560","nr","375","210,000",
,,"Head load -Transport Cement, metal and sand","224","Man days","2,500","560,000",
,,,,,"Sub Total","4,315,000",
,,"Contingency (10%)",,,,"431,500",
,,,,,,"4,746,500",
"Boundary Demarcation
(2.5 Km)","Katukandagolla, 7.356114, 80.723358","Purchase boundary posts","100","Boundary posts","4,500","450,000","2026"
,,"Loading boundary posts","1","Man days","2,500","2,500",
,,"Unloading boundary posts","1","Man days","2,500","2,500",
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","1","2,500","2,500","2,500",
,,"Head load - Transport boundary posts to the forest boundary","50","Man days","2,500","125,000",
,,"Holing (500 mm x 200mm x 200)","10","Man days","2,500","25,000",
,,"Preparation field and erection","10","Man days","2,500","25,000",
,,"Cost of Cement, metal and sand","100","nr","375","37,500",
,,"Head load -Transport Cement, metal and sand","40","Man days","2,500","100,000",
,,,,,"Sub Total","770,000",
,,"Contingency (10%)",,,,"77,000",
,,,,,,"847,000",
"Boundary Demarcation
(1.5 Km)","Dunuhappawa, 7.358130, 80.720949","Purchase boundary posts","75","Boundary posts","4,500","337,500","2026"
,,"Loading boundary posts","1","Man days","2,500","2,500",
,,"Unloading boundary posts","1","Man days","2,500","2,500",
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","1","2,500","2,500","2,500",
,,"Head load - Transport boundary posts to the forest boundary","38","Man days","2,500","95,000",
,,"Holing (500 mm x 200mm x 200)","8","Man days","2,500","20,000",
,,"Preparation field and erection","8","Man days","2,500","20,000",
,,"Cost of Cement, metal and sand","75","nr","375","28,125",
,,"Head load -Transport Cement, metal and sand","30","Man days","2,500","75,000",
,,,,,"Sub Total","583,125",
,,"Contingency (10%)",,,,"58,313",
,,,,,,"641,438",
"Forest Restoration
 (1 ha)","Morella Rain Forest 7.370846, 80.729190","Surveying (1.5 Man days/ha)","2","Man days","2,500","5,000","2026"
,,"Seedling production 500 seedling / ha (12\"x18\")","400","Seedlings","300","120,000",
,,"Transportation of seedlings to the site (300 Seedlings/ lorry load)","2","Lorry loads","7,500","15,000",
,,"Transportation of seedlings inside the field (5 Man days / ha)","5","Man days","2,500","12,500",
,,"Holing and planting (33 Man days /ha)","33","Man days","2,500","82,500",
,,"Fertilizer","40","Kg","300","12,000",
,,"Fertilizer application (9 Man days/ ha)","9","Man days","2,500","22,500",
,,"Vacancy Planting -Seedlings (20%)","80","Seedlings","300","24,000",
,,"Vacancy Planting - Holing & Planting (7 Man days)","7","Man days","2,500","17,500","2027"
,,"Vacancy Planting (10% )- Seedlings","40","Seedlings","300","12,000",
,,"Vacancy Planting - Holing & Planting (7 Man days)","7","Man days","2,500","17,500","2028"
